C 40       |NGC 3626                 |NGC 3626                 |NGC 3626                 |                         |                              |Galaxy in Group of Galaxies                      |170.015808 +18.356792      |            ~ ~   |     ~
C 41       |Hyades                   |NAME HYADES              |NAME HYADES              |                         |                              |Open (galactic) Cluster                          |066.72 +15.87              |            ~ ~   |     ~
C 42       |NGC 7006                 |NGC 7006                 |NGC 7006                 |                         |                              |Globular Cluster                                 |315.372771 +16.187914      |            ~ ~   |11.4  
C 43       |NGC 7814                 |NGC 7814                 |NGC 7814                 |                         |                              |Galaxy in Group of Galaxies                      |000.812279 +16.145228      |            ~ ~   |     ~
C 44       |NGC 7479                 |NGC 7479                 |NGC 7479                 |                         |                              |Seyfert 2 Galaxy                                 |346.236117 +12.322878      |            ~ ~   |10.85 
C 45       |NGC 5248                 |NGC 5248                 |NGC 5248                 |                         |                              |Galaxy in Group of Galaxies                      |204.383621 +08.885061      |            ~ ~   |     ~
C 46       |NGC 2261                 |NGC 2261                 |NAME HUBBLE'S NEBULA     |NGC 2261                 |                              |Reflection Nebula                                |099.792 +08.750            |            ~ ~   |     ~
C 47       |NGC 6934                 |NGC 6934                 |NGC 6934                 |                         |                              |Globular Cluster                                 |308.54737 +07.40447        |            ~ ~   | 9.75 
C 48       |NGC 2775                 |NGC 2775                 |NGC 2775                 |                         |                              |Galaxy                                           |137.583800 +07.037925      |            ~ ~   |10.481
C 49       |NGC 2237                 |NGC 2237                 |NAME ROSETTE A           |NGC 2237                 |                              |Cluster of Stars                                 |097.65042 +04.98072        |            ~ ~   |     ~
C 50       |NGC 2244                 |NGC 2244                 |NGC 2244                 |                         |                              |Open (galactic) Cluster                          |097.979 +04.942            |     -1.45 0.54   | 4.8  
C 51       |IC 1613                  |IC 1613                  |                         |                         |                              |Galaxy in Cluster of Galaxies                    |016.19917 +02.11778        |            ~ ~   | 9.21 
C 52       |NGC 4697                 |NGC 4697                 |NGC 4697                 |                         |                              |Galaxy in Group of Galaxies                      |192.149612 -05.800850      |            ~ ~   |     ~
C 53       |NGC 3115                 |NGC 3115                 |NAME SPINDLE GALAXY      |NGC 3115                 |                              |Galaxy in Group of Galaxies                      |151.30750 -07.71889        |            ~ ~   |     ~
C 54       |NGC 2506                 |NGC 2506                 |NGC 2506                 |                         |                              |Open (galactic) Cluster                          |120.004 -10.770            |     -2.55 0.37   | 7.6  
C 55       |NGC 7009                 |NGC 7009                 |HIP 103992               |NAME SATURN NEBULA       |NAME SATURN NEBULA            |Star                                             |316.045321 -11.363406      |            ~ ~   |12.07 
C 56       |NGC 246                  |NGC 246                  |HIP 3678                 |BD-12 134                |                              |Star                                             |011.76390909 -11.87192840  |   -23.85 -4.89   |11.78 
C 57       |NGC 6822                 |NGC 6822                 |NAME BARNARD'S GALAXY    |NGC 6822                 |                              |Galaxy                                           |296.2408 -14.8031          |            ~ ~   |     ~
C 58       |NGC 2360                 |NGC 2360                 |NAME CAROLINE'S CLUSTER  |NGC 2360                 |                              |Open (galactic) Cluster                          |109.429 -15.642            |     -4.30 6.68   | 7.2  
C 59       |NGC 3242                 |NGC 3242                 |NAME GHOST OF JUPITER    |NGC 3242                 |                              |Planetary Nebula                                 |156.192113 -18.642400      |      -17.1 4.0   |10.3  
C 60       |NGC 4038                 |NGC 4038                 |NGC 4038                 |                         |                              |Galaxy in Pair of Galaxies                       |180.46867 -18.86747        |            ~ ~   |     ~
C 61       |NGC 4039                 |NGC 4039                 |NGC 4039                 |                         |                              |Galaxy in Pair of Galaxies                       |180.4737 -18.8856          |            ~ ~   |     ~
C 62       |NGC 247                  |NGC 247                  |NGC 247                  |                         |                              |Low Surface Brightness Galaxy                    |011.785642 -20.760400      |            ~ ~   | 9.11 
C 63       |NGC 7293                 |NGC 7293                 |NAME HELIX NEBULA        |NGC 7293                 |                              |Planetary Nebula                                 |337.410588 -20.837122      |          32 -5   |13.524
C 64       |NGC 2362                 |NGC 2362                 |NAME TAU CMA             |NGC 2362                 |                              |Open (galactic) Cluster                          |109.671 -24.955            |     -2.10 3.27   | 4.1  
C 65       |NGC 253                  |NGC 253                  |NAME SILVER COIN         |NGC 253                  |                              |Seyfert Galaxy                                   |011.8883 -25.2881          |            ~ ~   |13.97 
C 66       |NGC 5694                 |NGC 5694                 |NGC 5694                 |                         |                              |Globular Cluster                                 |219.90217 -26.53833        |            ~ ~   |10.89 
C 67       |NGC 1097                 |NGC 1097                 |NGC 1097                 |                         |                              |LINER-type Active Galaxy Nucleus                 |041.579413 -30.274911      |            ~ ~   | 9.48 
C 68       |NGC 6729                 |NGC 6729                 |NGC 6729                 |                         |                              |Interstellar matter                              |285.4433 -36.9611          |            ~ ~   |     ~
C 69       |NGC 6302                 |NGC 6302                 |NAME BUG NEBULA          |NGC 6302                 |                              |Planetary Nebula                                 |258.434212 -37.104428      |            ~ ~   |     ~
C 70       |NGC 300                  |NGC 300                  |NGC 300                  |                         |                              |Galaxy in Group of Galaxies                      |013.722829 -37.684381      |            ~ ~   | 8.13 
C 71       |NGC 2477                 |NGC 2477                 |NGC 2477                 |                         |                              |Open (galactic) Cluster                          |118.042 -38.530            |      2.63 3.60   | 5.8  
C 72       |NGC 55                   |NGC 55                   |NGC 55                   |                         |                              |Galaxy in Group of Galaxies                      |003.723342 -39.196628      |            ~ ~   | 7.87 
C 73       |NGC 1851                 |NGC 1851                 |NGC 1851                 |                         |                              |Globular Cluster                                 |078.52817 -40.04656        |            ~ ~   | 8.05 
C 74       |NGC 3132                 |NGC 3132                 |NAME EIGHT-BURST NEBULA  |NAME EIGHT-BURST NEBULA  |                              |Star                                             |151.7573500 -40.4364056    |     -9.00 5.70   |10.01 
C 75       |NGC 6124                 |NGC 6124                 |NGC 6124                 |                         |                              |Cluster of Stars                                 |246.333 -40.653            |    -1.80 -3.63   | 5.8  
C 76       |NGC 6231                 |NGC 6231                 |NGC 6231                 |                         |                              |Open (galactic) Cluster                          |253.53546 -41.82667        |    -0.92 -1.28   | 2.6  
C 77       |NGC 5128                 |NGC 5128                 |NAME CENTAURUS A         |QSO B1322-428            |                              |BL Lac - type object                             |201.36506279 -43.01911258  |            ~ ~   | 6.84 
C 78       |NGC 6541                 |NGC 6541                 |NGC 6541                 |                         |                              |Globular Cluster                                 |272.00983 -43.71489        |            ~ ~   | 7.32 
