,MAIN_ID,ID_name,ID_HD,ID_HIP,ID_HR,ID_M,ID_NGC,ID_IC,ID_Ocl,RA_d,DEC_d,PMRA,PMDEC,PLX_VALUE,Distance_distance,Distance_unit,OTYPE_otypes,SP_TYPE,FLUX_R,FLUX_G,FLUX_B,FLUX_V
330,CTLGM 5875,,,,,,,,,0.49450756061,-28.59746276643,-0.167,-0.054,0.4386,,,G,,15.989,18.828474,17.488,14.8
331,2MASX J00014314-2817292,,,,,,,,,0.42973016711,-28.29144150415,-3.3,-5.3,,,,G,,16.106,20.076893,17.455,14.91
332,2MASX J00014526-3055092,,,,,,,,,0.43859752169,-30.91931595978,7.1,-6.0,,,,G,,16.717,21.749117,18.015,15.93
333,2dFGRS TGS357Z207,,,,,,,,,0.47069930071,-30.77837405287,12.6,-6.7,,,,G,,16.75,21.289652,17.869,15.81
334,2dFGRS TGS358Z256,,,,,,,,,0.4795,-30.9839997,3.5,1.4,,,,G,,16.712,,17.505,15.42
335,CTLGD 8691,,,,,,,,,0.42276286623,-29.49579645755,4.8,-2.9,,,,EmG,,15.78,20.411064,17.07,14.18
336,CTLGD 6975,,,,,,,,,0.4347,-29.865336,5.2,0.2,,,,EmG,,15.31,,16.78,13.41
337,2MASX J00015075-3005323,,,,,,,,,0.46148235879,-30.09238230364,-1.197,-0.097,1.6552,,,G,,15.75,19.469563,17.02,14.11
338,HD 224969,,HD 224969,HIP 173,,,,,,0.54957267866,47.57720413702,-7.179,-7.591,3.0243,330.655,pc,*,A2,,8.387774,8.68,8.44
339,HD 224993,,HD 224993,,,,,,,0.5916863,50.4998247,-8.9,-1.4,,,,**,A0,,,7.53,7.46
340,HD 224968,,HD 224968,HIP 175,,,,,,0.552420573,49.77108693293,-9.246,-19.234,3.5284,283.415,pc,*,G5,,7.608661,8.75,7.83
341,HD 236280,,HD 236280,HIP 182,,,,,,0.58118710852,52.58640614303,4.708,-12.73,2.3479,425.913,pc,*,K0,,8.253679,9.57,8.53
342,HD 236279,,HD 236279,,,,,,,0.55270163929,55.00003371145,5.962,-0.425,3.4941,286.197,pc,*,F8,,8.70357,9.62,8.92
343,HD 224981,,HD 224981,,,,,,,0.56881520647,56.76453116155,72.218,-5.155,3.4652,288.584,pc,PM*,K2II,,7.832612,9.36,8.17
344,V* V822 Cas,,HD 224980,HIP 181,,,,,,0.57377317602,60.70316796437,-8.963,-11.082,2.5792,387.717,pc,LP*,M0,,5.742062,8.53,6.753
345,HD 240476,,HD 240476,,,,,,,0.57479939231,60.50598064044,-71.476,-98.518,26.1595,38.227,pc,PM*,K5,,9.365582,10.65,9.71
346,HD 224940,,HD 224940,HIP 164,,,,,,0.51912717193,59.94010091841,113.301,36.52,3.8212,261.698,pc,PM*,G9III,,7.709221,8.93,7.96
