,MAIN_ID,ID_name,ID_HD,ID_HIP,ID_HR,ID_M,ID_NGC,ID_IC,ID_Ocl,RA_d,DEC_d,PMRA,PMDEC,PLX_VALUE,Distance_distance,Distance_unit,OTYPE_otypes,SP_TYPE,FLUX_R,FLUX_G,FLUX_B,FLUX_V
452,HD 224996,,HD 224996,HIP 188,,,,,,0.60269800861,6.33301238929,79.318,-51.161,9.7253,102.825,pc,PM*,F5,,8.520445,9.11,8.63
453,HD 225027,,HD 225027,HIP 219,,,,,,0.69030789256,6.03440151356,32.074,-20.963,10.2032,98.008,pc,*,F8,,8.449332,9.11,8.55
454,* c Psc,,HD 225003,HIP 194,HR 9093,,,,,0.6237587268108,8.4854637136311,-93.867,-46.971,26.6268,37.5561,pc,PM*,F1V,,5.635739,5.996,5.69
455,HD 224994,,HD 224994,HIP 190,,,,,,0.6054331646324,10.77630732539,-44.794,-102.841,4.8991,,,**,G0,,8.621501,9.35,8.73
456,*  31 Psc,,HD 224995,HIP 186,HR 9092,,,,,0.60069473069,8.95682488282,-0.947,-3.57,8.078,123.793,pc,*,A6V,,6.304925,6.497,6.325
457,HD 225026,,HD 225026,,,,,,,0.6711964813,10.90675633767,-45.054,-28.284,2.839,352.237,pc,PM*,K2,,8.79832,10.28,9.07
458,HD 225025,,HD 225025,,,,,,,0.67765152228,13.93068817794,-11.791,7.448,3.4813,287.249,pc,*,K2,,7.863745,9.37,8.19
459,HD 225001,,HD 225001,HIP 199,,,,,,0.63499961138,16.25656310199,-12.815,5.058,4.5264,220.926,pc,*,A0,,7.227994,7.29,7.23
460,HD 225002,,HD 225002,HIP 198,,,,,,0.63275025899,15.33517409928,21.89,-6.576,3.7316,267.982,pc,Pe*,kA2hA7mA8Sr,,8.910211,9.18,8.96
461,HD 225000,,HD 225000,HIP 201,,,,,,0.63926397235,18.68342841555,-14.582,14.517,9.9964,100.036,pc,**,F5,,8.146466,8.71,8.24
462,HD 225013,,HD 225013,HIP 206,,,,,,0.64679287567,18.83604341988,-18.555,19.414,10.4802,95.418,pc,*,G0,,8.45711,9.03,8.56
463,HD 225024,,HD 225024,HIP 214,,,,,,0.66917939828,28.54222949779,-0.41,-1.031,5.4936,182.03,pc,*,A3,,8.1199,8.45,8.15
464,HD 225023,,HD 225023,HIP 220,,,,,,0.69177788378,35.81546721058,12.923,-2.32,5.4556,183.298,pc,*,A0,,7.47762,7.7,7.52
465,BD+41  4924,,,HIP 197,,,,,,0.63230481021,42.14778178641,-7.457,-6.952,2.2324,447.948,pc,*,K0,,8.699654,9.91,8.97
466,HD 225022,,HD 225022,HIP 216,,,,,,0.67687615504,42.92066309031,-11.342,-18.029,3.7868,264.075,pc,*,A0,,7.932024,7.95,7.94
467,HD 225018,,HD 225018,HIP 208,,,,,,0.65008032759,-67.63428929857,22.695,-1.73,1.8057,614.725,pc,*,G6/8III,,9.168376,10.331,9.66
468,HD 225008,,HD 225008,,,,,,,0.6230578013,-56.89713643893,21.304,28.555,2.9329,332.841,pc,cC*,F6/8,,9.786867,10.78,10.02
469,HD 225032,,HD 225032,,,,,,,0.67886375479,-56.78154601385,16.943,1.328,3.602,267.878,pc,Pu*,A2III/IV,,9.38753,9.64,9.4
470,HD 225033,,HD 225033,HIP 218,,,,,,0.67962758766,-57.6336673692,-26.892,-15.042,3.0884,323.792,pc,*,G8III,,8.143567,9.42,8.4
471,HD 225007,,HD 225007,,,,,,,0.62489734299,-46.42082785521,3.809,8.246,1.762,567.537,pc,*,G8/K1(III),,9.691473,11.05,9.96
472,2MASX J00023519-2901230,,,,,,,,,0.64660284584,-29.02313441226,-0.2,-2.0,,,,G,,16.602,21.381733,17.907,15.7
473,2MASX J00024146-3045581,,,,,,,,,0.67268643653,-30.76628551968,3.8,-1.3,,,,G,,16.091,19.627653,17.324,14.75
474,2MASX J00022674-3021071,,,,,,,,,0.61155992649,-30.35208307382,0.4,0.2,,,,G,,16.547,19.913721,17.915,15.66
475,CTLGD 3026,,,,,,,,,0.62858382691,-30.63027993532,2.7,2.1,,,,G,,16.563,20.646772,17.847,15.71
476,2MASX J00023941-3114331,,,,,,,,,0.66413004863,-31.24243086839,5.4,2.4,,,,G,,16.306,19.343971,17.721,15.3
477,2MASX J00023029-3047321,,,,,,,,,0.62618638625,-30.79239297726,9.7,6.1,,,,G,,16.294,21.538446,17.021,14.57
478,2MASX J00022480-3140491,,,,,,,,,0.60330523203,-31.68032248391,6.6,-2.7,,,,G,,16.207,20.226555,17.313,14.87
479,2dFGRS TGS358Z245,,,,,,,,,0.6342808,-30.8290814,-0.1,4.3,,,,G,,16.753,,17.831,15.79
480,LEDA  715696,,,,,,,,,0.63285686634,-30.56573358749,1.0,-1.8,,,,G,,15.39,19.63153,16.71,13.46
481,LEDA 3588017,,,,,,,,,0.64486682574,-29.80665644818,1.9,3.2,,,,G,,15.25,19.812847,16.89,13.14
482,2MASS J00024546-2958501,,,,,,,,,0.68948404917,-29.98059812389,,,,,,G,,15.41,19.400496,16.83,13.52
483,LEDA 3588038,,,,,,,,,0.65888040015,-29.76378938293,3.2,-1.8,,,,G,,15.41,19.724257,17.0,13.3
484,HD 225011A,,HD 225011A,,,,,,,0.6476502404879,55.5723015853169,25.389,-32.288,7.3337,136.357,pc,*,,,8.060738,9.33,8.31
485,HD 225028A,,HD 225028A,,,,,,,0.69656125528,2.13015273375,62.34,-93.353,23.3713,42.788,pc,PM*,,,7.213268,7.9,7.33
486,HD 225011B,,HD 225011B,,,,,,,0.6472964186729,55.5719322020061,24.172,-34.436,7.365,135.777,pc,*,,,9.800338,10.4,9.91
487,HD 225034,,HD 225034,HIP 229,,,,,,0.71399824,47.25227048,17.88,-4.03,,,,**,A0,8.79,,8.921,8.734
488,HD 225065,,HD 225065,,,,,,,0.77913898197,45.89280080031,-7.105,-7.277,2.3479,425.913,pc,*,A5,,9.06726,9.5,9.15
489,HD 225067,,HD 225067,,,,,,,0.79158284745,45.12593079693,-10.372,-12.832,3.1733,315.129,pc,*,F,,9.899255,10.37,10.05
490,HD 225066,,HD 225066,,,,,,,0.78763136554,45.12510812233,43.597,-7.84,7.9594,125.638,pc,*,F,,8.994167,9.62,9.06
491,HD 225064,,HD 225064,HIP 250,,,,,,0.77427810042,52.46512462047,-9.686,-15.7,4.12,242.718,pc,**,K0,,7.95489,9.02,8.14
492,HD 236284,,HD 236284,HIP 256,,,,,,0.79662120125,54.51578150884,2.219,-30.276,5.4235,184.383,pc,*,F0,,9.434498,9.9,9.46
493,HD 240481,,HD 240481,,,,,,,0.71701583563,59.98692950129,-7.519,-3.979,1.6352,611.546,pc,*,K0,,9.286767,10.88,9.66
494,HD 240482,,HD 240482,,,,,,,0.75694891593,59.44095120917,39.73,19.536,5.5821,179.144,pc,SB*,F8,,9.421878,10.07,9.53
495,BD+69  1376,,,HIP 234,,,,,,0.73359782071,70.23799792878,3.374,-4.138,1.5441,647.626,pc,*,B8,,9.574863,9.87,9.58
496,HIP 235,,,HIP 235,,,,,,0.73644530806,71.36803526132,-3.049,-3.67,2.2811,438.385,pc,*,K0,,8.695427,10.38,9.12
497,HD 225044,,HD 225044,HIP 233,,,,,,0.73192025764,71.35851784244,-7.308,-10.664,2.9047,344.27,pc,SB*,K0,,8.064291,9.65,8.5
498,HIP 227,,,HIP 227,,,,,,0.70486223083,80.28654759,48.32,15.176,5.8441,171.113,pc,PM*,,,9.826315,9.87,9.42
499,HD 225049,,HD 225049,HIP 237,,,,,,0.73930006246,-39.52741276783,59.6,-37.178,7.7429,129.151,pc,PM*,G8IV,,8.778294,9.91,9.01
500,HD 225042,,HD 225042,,,,,,,0.70061859019,-40.80928830612,42.833,-22.45,4.1236,241.266,pc,*,F8/G0V,,9.391827,10.16,9.53
501,HD 225061,,HD 225061,HIP 242,,,,,,0.7522306562,-34.74393803353,21.683,46.237,7.9424,125.907,pc,RG*,G8IV,,7.509375,8.74,7.76
502,HD 225048,,HD 225048,,,,,,,0.71933155742,-31.35862567714,-8.557,-47.592,2.435,410.678,pc,*,K1II/III,,8.41204,9.76,8.67
503,HD 225071,,HD 225071,,,,,,,0.77348715124,-33.37225555647,-11.213,-14.836,2.4478,408.53,pc,*,K2III,,8.571833,10.07,8.85
504,HD 225047,,HD 225047,HIP 232,,,,,,0.73011416017,-30.14977328831,18.436,2.618,4.3628,238.977,pc,*,A0V,,8.425649,8.45,8.42
505,LEDA  198790,,,,,,,,,0.73336416729,-29.92681798269,-0.7,4.2,,,,G,,15.83,19.918287,17.16,14.15
506,2MASX J00030150-2944475,,,,,,,,,0.75622449459,-29.7465818088,-9.7,2.8,,,,G,,,20.616615,,12.03
507,HD 225046,,HD 225046,,,,,,,0.72423021431,-25.39497066144,57.514,4.139,7.1035,153.034,pc,PM*,F5,,9.210226,9.901,9.26
508,HD 225070,,HD 225070,HIP 251,,,,,,0.77532833031,-25.26111547551,-28.894,-27.591,1.5318,651.008,pc,*,K2III,,8.175399,10.059,8.68
509,HD 225040,,HD 225040,,,,,,,0.70355883749,-23.87579029756,21.42,-11.641,1.686,593.12,pc,**,B9V,,9.620647,9.56,9.58
510,HD 225069,,HD 225069,HIP 253,HR 9096,,,,,0.78272526817,-24.145144725,57.13,-3.039,6.4919,154.038,pc,PM*,K1III,,6.130807,7.635,6.443
511,HD 225076,,HD 225076,HIP 255,,,,,,0.79466667746,-24.58826009544,53.444,10.823,10.899,91.78,pc,PM*,F2/3V,,7.875949,9.281,8.944
512,HD 225045,,HD 225045,HIP 238,HR 9095,,,,,0.73953410346,-20.04588301516,100.331,78.491,17.407,57.448,pc,PM*,F6/7V,,6.133678,6.753,6.238
513,LEDA  872809,,,,,,,,,0.78270373602,-18.09715553975,,,,,,Sy2,,15.59,20.02454,16.7,13.28
514,HD 225039,,HD 225039,HIP 225,,,,,,0.70010803006,-15.04054139244,17.318,-4.099,6.0624,164.951,pc,*,F3/5V,,8.926423,9.48,9.03
515,HD 225074,,HD 225074,,,,,,,0.79482794681,-7.70886189216,-11.998,-21.936,2.8029,342.959,pc,*,K0III,,9.071353,10.388,9.68
516,HD 225060,,HD 225060,HIP 245,,,,,,0.76373562177,-7.81551764221,63.482,3.76,3.2404,258.26,pc,PM*,K0III,,8.218458,9.715,9.297
517,HD 225059,,HD 225059,HIP 236,,,,,,0.73786000793,-0.89387387896,17.815,-18.099,2.6511,380.042,pc,*,K1III,,7.705998,9.36,8.09
518,UGC     5,,,,,,,,,0.77355511598,-1.91386364303,,,,87.9,Mpc,Sy2,,12.4,20.507378,13.92,13.32
519,HD 225058,,HD 225058,HIP 239,,,,,,0.74319154816,3.38193277011,7.33,-2.022,3.5929,278.327,pc,*,F3V,,8.440057,9.05,8.55
520,HD 225057,,HD 225057,HIP 248,,,,,,0.7656601826,8.27068431685,-36.963,-49.394,7.4829,133.638,pc,PM*,F0,,8.037072,8.39,8.09
521,SAO 108988,,,HIP 247,,,,,,0.76543460425,8.26129272717,-38.047,-49.817,7.5269,132.857,pc,PM*,F0(N),,9.091084,9.42,9.0
522,BD+08  5165,,,HIP 240,,,,,,0.74372906702,9.79522743815,-15.68,2.698,2.9294,341.367,pc,*,F8,,10.643247,11.36,10.81
523,HD 225056,,HD 225056,HIP 241,,,,,,0.75202221156,9.13828113973,22.489,-6.51,2.5586,390.839,pc,*,K0,,8.475431,9.75,8.73
524,Mrk  334,,,,,,,,,0.79003665844,21.96026999719,-1.949,-2.929,1.1561,88.8,Mpc,Sy1,,,16.385994,15.3,14.62
525,HD 225036,,HD 225036,HIP 228,,,,,,0.71026356147,28.25190536451,40.788,5.845,10.3576,96.547,pc,*,F8,,7.521874,8.15,7.64
526,BD+29  5051,,,HIP 230,,,,,,0.71587526734,30.33653991461,63.774,13.692,7.9611,125.611,pc,PM*,F2,,8.331001,8.87,8.45
527,BD+31  5024,,,HIP 249,,,,,,0.77422596882,31.87008534965,10.265,-6.957,13.1047,76.309,pc,*,F8,,8.624852,9.28,8.74
528,HD 225053,,HD 225053,,,,,,,0.7360472512,40.41248344634,25.23,-7.236,5.4945,182.0,pc,SB*,A0,,8.387762,8.56,8.4
529,HD 225055,,HD 225055,,,,,,,0.74362604037,39.96146341842,6.532,-3.477,3.0363,329.348,pc,*,A,,8.879065,8.91,8.9
530,HD 225054,,HD 225054,HIP 244,,,,,,0.75886515555,39.99514433533,1.353,-3.5,3.0248,330.6,pc,SB*,F8,,7.760551,8.54,7.89
531,HD 225035,,HD 225035,,,,,,,0.71879521693,43.52835991532,-10.849,-14.617,4.9348,202.642,pc,*,G5,,8.780824,9.26,8.85
532,HD 225072,,HD 225072,,,,,,,0.79610768256,43.64314807291,16.736,-11.128,3.0348,329.511,pc,*,K0,,7.772723,9.32,8.09
533,HD 225068,,HD 225068,HIP 254,,,,,,0.78477882201,42.74790520123,33.237,-4.639,5.7823,172.942,pc,*,A2,,6.715531,6.76,6.72
534,HD 225052,,HD 225052,,,,,,,0.72866713653,-64.41674441534,37.867,11.106,1.3305,751.597,pc,*,K2/4(III),,9.035802,10.84,9.53
535,HD 225062,,HD 225062,HIP 243,,,,,,0.75335089368,-60.6919099411,-5.029,-1.218,3.572,279.955,pc,*,K0III,,7.549281,8.85,7.82
536,HD 225051,,HD 225051,HIP 231,,,,,,0.72375467329,-58.78139714415,72.889,-2.516,3.8148,266.414,pc,PM*,F6/7IV,,9.446426,10.1,9.58
537,HD 225050,,HD 225050,,,,,,,0.74100474646,-48.90078801369,41.267,-5.578,4.7308,213.119,pc,*,F5V,9.9,10.10447,10.64,10.154
538,LEDA  198755,,,,,,,,,0.7735430698,-29.86652282531,,,,,,BiC,,14.84,19.681633,16.18,12.32
539,2MASX J00025519-2801475,,,,,,,,,0.73000421181,-28.03002224331,2.1,-11.3,,,,G,,15.668,19.775007,17.025,14.04
540,2MASX J00025302-2859005,,,,,,,,,0.72099214062,-28.98352265036,2.6,-0.6,,,,G,,16.062,19.589975,17.451,14.87
541,CTLGD 4036,,,,,,,,,0.70485518298,-30.43504670417,1.1,-2.7,,,,G,,16.424,19.959124,17.544,15.29
542,2MASX J00025544-3118184,,,,,,,,,0.73088244522,-31.3051284928,4.4,1.6,,,,G,,16.582,20.198008,17.949,15.8
543,2dFGRS TGS277Z072,,,,,,,,,0.70750785819,-28.49963719258,6.1,3.0,,,,G,,16.809,21.384764,17.831,15.87
544,HD 225034A,,HD 225034A,,,,,,,0.7140027488088,47.2522705976005,18.652,-4.4,3.8783,257.845,pc,*,,,8.898067,9.03,8.93
545,BD+28  4694,,,HIP 252,,,,,,0.7796419465133,29.4859756847361,18.441,-2.934,1.3015,768.344,pc,*,K0,10.039,10.041371,11.43,10.26
546,LEDA 3588239,,,,,,,,,0.78910583062,-29.86094363529,,,,,,BiC,,,19.012344,16.38,12.29
547,HD 225034B,,HD 225034B,,,,,,,0.7146121976554,47.2520890198567,18.725,-5.852,3.9408,253.756,pc,*,,,9.11861,9.27,9.07
548,V* RU Scl,,HD 225041,HIP 226,,,,,,0.70044606939,-24.94529854007,50.011,-17.98,1.2529,928.883,pc,RR*,F0/2V,10.24,10.310272,10.991,10.563
549,BD+47  4371,,,HIP 259,,,,,,0.80589242665,48.72229575949,-1.642,-16.999,1.8392,543.715,pc,*,M0,,8.078554,10.13,8.66
550,HD 225104,,HD 225104,HIP 280,,,,,,0.86620736949,53.31268960586,-14.844,-5.036,4.8532,206.05,pc,*,A2,,8.133419,8.27,8.14
551,HD 236285,,HD 236285,,,,,,,0.8264138453645,53.5392670846498,-4.9,0.4,,,,**,A3,,9.147,9.56,9.25
552,HD 225095,,HD 225095,HIP 278,,,,,,0.86311197017,55.55089823058,-1.752,-1.475,0.7951,1257.703,pc,Em*,B2IVne,,7.900065,7.89,7.91
553,HD 236286,,HD 236286,HIP 281,,,,,,0.87621215883,55.0599618413,5.942,4.626,1.3237,755.458,pc,*,M0,,7.596405,10.07,8.46
554,V* Y Cas,,HD 225082,,,,,,,0.83942194734,55.68111890396,-0.379,-4.172,1.7048,586.579,pc,Mi*,M7.5e:,7.77,8.33723,,11.99
555,HD 225080,,HD 225080,,,,,,,0.82878185179,58.78943767873,10.009,-4.221,2.0606,,,*,A0,,8.532503,8.73,8.58
556,HD 225081,,HD 225081,,,,,,,0.83681142782,58.47498337278,-3.942,-2.527,1.4175,705.467,pc,*,A0,,8.495645,8.68,8.54
557,HD 240484,,HD 240484,,,,,,,0.84006199687,58.16771226324,1.294,3.116,1.8136,551.39,pc,*,K2,,9.327909,10.8,9.69
558,HD 240486,,HD 240486,,,,,,,0.88185497134,57.60338175131,4.334,-4.196,1.9872,503.221,pc,*,B9,,9.27243,9.36,9.28
559,HD 240485,,HD 240485,HIP 268,,,,,,0.84178605337,59.07860652395,-4.217,-2.218,1.2902,775.074,pc,*,K5,,7.63185,9.63,8.17
560,HD 240483,,HD 240483,,,,,,,0.81751131118,59.95965885162,-0.709,-0.884,1.0982,910.581,pc,*,B9,,9.605845,9.76,9.66
561,HD 225094,,HD 225094,HIP 274,HR 9097,,,,,0.8571422213,63.6405216631,-2.36,-1.36,1.31,,,s*b,B2.9Iab,5.9,6.1299,6.56,6.22
562,BD+61  2583,,,HIP 279,,,,,,0.86376622284,62.35780698993,-1.624,1.078,1.1725,852.878,pc,Pu*,B8V,,8.637047,8.79,8.7
563,V* V397 Cep,,HD 225093,HIP 270,,,,,,0.84988244645,73.17449713347,-21.392,2.193,4.9998,200.008,pc,SB*,A2,,7.346511,7.54,7.4
564,BD+77   935,,,HIP 286,,,,,,0.88147569536,78.71782716016,14.548,8.022,2.3146,432.04,pc,*,K0,,8.920649,10.26,9.17
565,HD 225063,,HD 225063,,,,,,,0.80360974199,76.30860093308,14.799,12.177,2.6167,382.161,pc,Pu*,A2,,8.320268,8.61,8.37
566,HD 225090,,HD 225090,,,,,,,0.83041237198,-35.55365262142,75.408,-15.299,7.436,134.481,pc,PM*,F3V,,9.093134,9.6,9.18
567,HD 225112,,HD 225112,HIP 285,,,,,,0.88084338346,-35.6022266617,56.763,-1.472,2.8017,356.926,pc,PM*,K1IV/VCNIII,,8.18648,9.77,8.54
568,HD 225100,,HD 225100,HIP 271,,,,,,0.85283917744,-35.9651579494,22.291,6.509,4.7894,215.894,pc,*,A2III,,9.131726,9.37,9.14
569,HD 225101,,HD 225101,HIP 277,,,,,,0.85949707022,-36.25119068938,72.437,5.701,15.129,66.098,pc,PM*,F2V,,6.896962,7.28,6.965
570,HD 225077,,HD 225077,HIP 257,,,,,,0.80305837077,-31.21238495547,21.197,1.5,4.2704,234.17,pc,SB*,A0V,,8.868869,8.93,8.88
571,HD 225099,,HD 225099,HIP 275,,,,,,0.85760864,-29.0006645,-24.02,-20.88,5.94,166.59,pc,**,F3V,9.743,9.862014,9.818,9.544
572,HD 225111,,HD 225111,,,,,,,0.88286814617,-29.71799241733,19.172,3.374,4.1946,241.517,pc,SB*,A5/7(III),,10.056478,10.512,10.133
573,LEDA  198780,,,,,,,,,0.84344997128,-30.83038398328,-0.7,-0.1,,,,EmG,,15.919,20.025143,16.914,14.16
574,2dFGRS TGS358Z095,,,,,,,,,0.80170921621,-30.75505763733,2.7,-1.7,,,,G,,15.198,18.98644,16.564,13.12
575,HD 225098,,HD 225098,HIP 272,,,,,,0.85554029776,-26.41518196949,12.561,1.106,2.247,416.693,pc,*,G8/K0III,,8.567447,9.798,8.8
576,HD 225109,,HD 225109,,,,,,,0.87505963782,-23.2676125251,-21.321,-10.457,1.978,498.775,pc,*,K1III,,9.247883,10.659,9.52
577,HD 225089,,HD 225089,HIP 261,,,,,,0.82052654667,-23.61543795431,9.624,-38.153,5.0333,192.251,pc,*,F3V,9.598,9.060028,9.599,9.474
578,HD 225075,,HD 225075,,,,,,,0.8002056946,-23.88577473812,4.989,-41.703,4.6362,212.206,pc,*,K1(III),,9.645263,10.963,10.02
579,HD 225110,,HD 225110,,,,,,,0.8848141038,-24.76922507827,8.668,4.97,2.1983,458.965,pc,*,K1III,,8.961968,10.399,9.47
580,HD 225088,,HD 225088,HIP 266,,,,,,0.83533478246,-11.94536617494,-9.917,-64.229,3.8323,258.884,pc,PM*,K1IIICNII,,7.791934,9.542,8.1
581,BD-14  6608,,,HIP 287,,,,,,0.88585334111,-13.22729085685,19.15,-10.6,1.1025,782.304,pc,*,K5,,8.443908,10.615,9.2
582,NGC  7808,,,,,,NGC 7808,,,0.88388153882,-10.74468996522,,,,124.0,Mpc,Sy2,,,18.680279,14.33,13.48
583,HD 225087,,HD 225087,,,,,,,0.82074223796,-5.45918897604,-26.75,40.807,10.2621,96.278,pc,*,G2V,,9.090911,9.819,9.21
584,HD 225085,,HD 225085,,,,,,,0.82888637175,-0.16399189729,162.383,-60.108,8.6903,116.181,pc,PM*,F7V,,9.286552,10.059,9.606
585,HD 225108,,HD 225108,,,,,,,0.88190486191,4.74538709237,4.64,-12.907,5.0018,199.928,pc,*,A9V,,9.120099,9.46,9.2
586,HD 225107,,HD 225107,HIP 283,,,,,,0.87711963223,12.35682169643,-14.616,-2.881,5.5114,181.442,pc,Pu*,A5,,7.380692,7.75,7.46
587,HD 225106,,HD 225106,HIP 282,,,,,,0.87642822178,19.38149864343,0.398,-30.07,2.7408,364.857,pc,*,K0,,7.467053,9.3,7.91
588,HD 225073,,HD 225073,HIP 258,,,,,,0.80547924308,17.55226903903,59.526,-52.978,7.0182,142.487,pc,PM*,K0,,6.303553,7.69,6.57
589,HD 225084,,HD 225084,,,,,,,0.8347020979,23.51873754024,-23.116,-16.339,6.0347,165.708,pc,*,A,,8.973441,9.33,9.01
590,HD 225096,,HD 225096,HIP 269,,,,,,0.84202326896,23.57503457718,-10.878,-6.312,3.2679,306.007,pc,*,G5,,8.437085,9.92,8.78
591,V* TW And,,,HIP 262,,,,,,0.82594709338,32.84586257997,52.514,-2.981,3.8518,259.619,pc,EB*,F0/2V,,9.008277,9.48,9.07
592,HD 225083,,HD 225083,HIP 264,,,,,,0.83207640054,38.24401241051,-0.795,-1.226,3.1144,321.089,pc,*,K0,,8.080599,9.63,8.42
593,HD 225105,,HD 225105,HIP 288,,,,,,0.88908620003,42.35210657085,97.49,-46.203,7.1321,140.211,pc,PM*,K0,,7.612417,8.98,7.91
594,HD 225113,,HD 225113,HIP 284,,,,,,0.87847168155,-65.82750729824,22.515,24.561,2.1618,462.577,pc,*,G8III,,8.760991,9.94,8.98
595,HD 225092,,HD 225092,HIP 265,,,,,,0.83538369262,-64.47609603741,-1.695,-6.331,1.2994,769.586,pc,*,K5(III),,8.440932,10.65,9.01
596,HD 225103,,HD 225103,,,,,,,0.84428551406,-63.7342268456,7.401,-1.018,1.4363,696.233,pc,*,K0III,,8.709869,10.19,9.02
597,HD 225079,,HD 225079,,,,,,,0.81352694245,-53.93729452545,102.555,-46.079,6.7781,146.606,pc,PM*,G2V,,9.398048,10.2,9.59
598,HD 225091,,HD 225091,HIP 260,,,,,,0.81722833166,-55.40506895596,30.878,8.131,4.2506,237.806,pc,*,F2V,,9.561519,9.96,9.57
599,HD 225078,,HD 225078,,,,,,,0.81089278786,-49.16151317143,102.832,46.751,11.3022,88.409,pc,PM*,G5/7V,9.76,10.038804,10.902,10.228
600,HD 225102,,HD 225102,HIP 273,,,,,,0.85686863447,-46.83097560741,-0.708,-2.787,0.8799,1136.493,pc,*,A0/1V,,11.133667,11.27,11.2
601,2MASX J00032651-2844120,,,,,,,,,0.860458,-28.736672,2.0,2.3,,,,G,,15.913,,17.172,14.45
602,2MASX J00032300-2851270,,,,,,,,,0.84575266036,-28.85745973037,0.1,1.3,,,,G,,16.298,20.013582,17.409,14.95
603,2MASX J00032500-3040392,,,,,,,,,0.85429381061,-30.6775930905,6.5,3.0,,,,G,,16.243,20.494415,17.685,15.19
604,2MASX J00033068-3128532,,,,,,,,,0.87788004097,-31.48147621514,2.8,-2.4,,,,G,,15.707,19.353544,17.062,14.16
605,2dFGRS TGS277Z055,,,,,,,,,0.87560055167,-28.25846633184,-1.6,-0.3,,,,G,,16.532,21.369986,17.408,15.25
606,6dFGS gJ000320.7-300849,,,,,,,,,0.83600947867,-30.14700726404,,,,,,G,,15.08,20.0882,16.29,12.64
607,CTLGD 5992,,,,,,,,,0.89023267977,-30.06024417191,0.078,-1.932,0.9311,,,G,,15.78,19.398186,17.22,14.26
608,CTLGM 6164,,,,,,,,,0.89860955593,-28.16607250792,-5.4,-10.5,,,,G,,15.77,20.044094,17.17,14.27
609,HD 225099A,,HD 225099A,,,,,,,0.857491579,-29.0006229,-18.8,-21.0,,,,*,,,,10.44,10.11
610,HD 225086,,HD 225086,HIP 267,,,,,,0.83536025967,-4.14575464039,-20.633,-9.738,11.5073,86.901,pc,*,F0V,8.97,8.022013,8.51,8.11
611,HD 225099B,,HD 225099B,,,,,,,0.857635679,-29.0006654,-18.8,-21.0,,,,*,,,,10.66,10.17
612,HD 225124,,HD 225124,HIP 297,,,,,,0.92435351976,48.43690534136,-24.968,-8.727,7.549,132.468,pc,*,A2,,6.791181,6.85,6.78
613,HD 236287,,HD 236287,,,,,,,0.96232001333,53.19526318889,9.112,18.217,3.4806,287.307,pc,SB*,K0,,8.589776,9.87,8.87
614,HD 225137,,HD 225137,HIP 303,,,,,,0.96930283591,57.37828060227,32.072,1.443,3.9646,252.232,pc,SB*,kA3hA7mF2,,8.109643,8.43,8.13
615,HD 225146,,HD 225146,HIP 312,,,,,,0.98959385274,61.10363723167,-0.816,-1.895,0.3284,3045.067,pc,s*b,O9.7Iab,,8.485552,8.96,8.6
616,HD 240487,,HD 240487,,,,,,,0.97218872392,60.6762645747,-0.448,-1.557,0.9329,1071.926,pc,*,B5,9.57,9.420135,9.71,9.53
617,V* V398 Cep,,HD 225136,HIP 302,HR 9099,,,,,0.96517142367,66.71218558856,8.985,-7.282,3.4444,290.326,pc,LP*,M4III,,5.30059,7.934,6.323
618,HD 225159,,HD 225159,,,,,,,0.99446063943,65.14943473694,1.947,3.627,2.0557,486.452,pc,*,A2,,9.081856,9.41,9.16
619,HD 225114,,HD 225114,HIP 292,,,,,,0.90877755321,70.30603003834,9.807,-1.416,3.6081,277.154,pc,Pe*,A0pSrCrSi,,8.101026,8.08,8.1
620,HD 225123,,HD 225123,,,,,,,0.94006686986,68.87665632974,-17.194,-13.648,3.1237,320.133,pc,*,K5,,7.270055,8.92,7.65
621,HD 225156,,HD 225156,HIP 310,,,,,,0.98776485983,-43.19181125279,106.261,-126.671,11.4851,86.88,pc,PM*,G5V,,9.415139,10.23,9.703
622,Smethells 150,,,HIP 307,,,,,,0.9800137195,-42.55948147971,91.624,7.397,14.7274,67.178,pc,PM*,M0V,10.8,11.076654,12.78,11.47
623,HD 225121,,HD 225121,HIP 295,,,,,,0.9187061866,-41.0958889767,12.774,-13.512,3.3742,298.479,pc,*,F0V,9.42,9.606404,10.02,9.64
624,HD 225120,,HD 225120,HIP 290,,,,,,0.90441600841,-31.09416739155,84.133,-63.303,16.0863,62.165,pc,PM*,F8/G0V,,7.656021,8.32,7.78
625,HD 225119,,HD 225119,HIP 291,,,,,,0.9045752823,-28.41713625269,11.227,-0.364,1.4663,681.989,pc,SB*,ApSi,,8.17073,8.07,8.18
626,HD 225118,,HD 225118,HIP 296,,,,,,0.9228551708633,-28.3961930614808,281.146,-142.102,24.8314,40.2716,pc,PM*,G8.5V,,8.083604,9.04,8.23
627,HD 225155,,HD 225155,HIP 305,,,,,,0.97237967467,-28.39380761574,91.858,-18.01,20.136,49.662,pc,PM*,G5IV,,7.503518,8.37,7.64
628,2MASX J00035413-2847115,,,,,,,,,0.97555,-28.786544,-2.3,-6.7,,,,G,,,,16.5,13.65
629,2MASX J00035390-2846485,,,,,,,,,0.97476627279,-28.78026529701,25.0,-5.1,,,,G,,,20.678581,,14.05
