MAIN_ID,ID_name,ID_HD,ID_HIP,ID_HR,ID_M,ID_NGC,ID_IC,ID_Ocl,RA_d,DEC_d,PMRA,PMDEC,PLX_VALUE,Distance_distance,Distance_unit,OTYPE_otypes,SP_TYPE,FLUX_R,FLUX_G,FLUX_B,FLUX_V
HD 224914,,HD 224914,HIP 133,,,,,,0.42347579876,-40.14870610768,33.657,-16.684,5.5573,179.943,pc,*,F5IV,,6.506227,7.15,6.62
HD 224901,,HD 224901,,,,,,,0.40574210159,-41.19507240843,65.587,-33.761,6.0149,166.254,pc,PM*,F5V,,10.02778,10.68,10.16
HD 224937,,HD 224937,HIP 151,,,,,,0.48487662661,-41.61377782845,89.988,-15.471,7.891,126.727,pc,**,F3/5III,,7.780284,8.218,7.777
HD 224900,,HD 224900,HIP 125,,,,,,0.40467371789,-39.33674842869,-18.654,-28.28,6.5342,153.041,pc,*,F2V,,8.606897,9.06,8.7
HD 224936,,HD 224936,HIP 150,,,,,,0.480306296,-37.22995069328,-19.412,-44.111,7.0922,141.0,pc,*,K1III,,6.738419,8.13,7.06
CD-35 16037,,,HIP 132,,,,,,0.42202278256,-34.6535433616,5.8,-14.679,2.476,396.664,pc,*,F0,,10.536109,10.915,10.617
HD 224913,,HD 224913,HIP 130,,,,,,0.41829467968,-30.69253622993,14.79,-12.012,2.1249,470.61,pc,*,K0III,,8.836822,10.19,9.13
HD 224912,,HD 224912,,,,,,,0.42787681178,-28.21527163047,38.796,20.489,2.7875,358.744,pc,*,K1III,,8.949975,10.24,9.21
CD-28 18443,,,HIP 152,,,,,,0.48441477769,-28.13094847091,-13.732,2.851,3.9873,251.535,pc,*,,,9.921985,10.4,10.061
HD 224948,,HD 224948,,,,,,,0.49063320444,-30.15796497393,18.236,2.296,4.1967,239.051,pc,*,A9/F0V,,9.885936,10.29,9.96
ESO 409-2,,,,,,,,,0.43321110697,-30.41884029222,1.8,1.5,,,,G,,14.16,18.977942,15.25,11.33
2MASXI J0001539-301043,,,,,,,,,0.47469612931,-30.17869586322,6.7,-12.3,,,,LSB,,15.56,21.621456,16.66,13.48
LEDA  198776,,,,,,,,,0.45047301765,-28.87600946206,-8.6,-5.4,,,,EmG,,15.93,21.008123,16.77,14.06
HD 224927,,HD 224927,HIP 146,,,,,,0.4558365702317,-25.7985309596378,-130.572,-343.252,7.5672,132.149,pc,**,A9V,,8.890443,9.28,8.96
HD 224899,,HD 224899,,,,,,,0.4003284416,-26.46993027822,17.629,-21.655,1.8912,528.765,pc,Er*,K1(III),,9.193665,10.51,9.45
HD 224911,,HD 224911,,,,,,,0.44612192556,-19.19423255369,-2.73,-7.956,1.2907,774.773,pc,*,K0,,10.023203,11.38,10.32
HD 224910,,HD 224910,HIP 138,,,,,,0.43744325365,-16.53166193415,94.107,24.293,6.0004,166.656,pc,PM*,K0/1IV,,7.532662,8.9,7.84
NAME WLM Galaxy,NAME Wolf-Lundmark-Melotte,,,,,,,,0.4913,-15.4639,,,,0.92,Mpc,G,,10.93,,11.5,11.1
*  30 Psc,,HD 224935,HIP 154,HR 9089,,,,,0.49008113222,-6.01407055668,46.941,-40.471,7.8758,126.971,pc,LP?,M3III,2.85,3.292785,6.04,4.41
*  29 Psc,,HD 224926,HIP 145,HR 9087,,,,,0.45603380293,-3.02750328334,17.905,-10.329,7.5845,140.109,pc,V*,B7III-IV,,5.0603,4.98,5.1
HD 224909,,HD 224909,HIP 134,,,,,,0.42519378298,-1.13996140879,21.843,4.456,3.2153,311.539,pc,*,A1/2III,,9.902843,10.13,9.89
HD 224908,,HD 224908,HIP 135,,,,,,0.42679514528,-0.2177779556,20.228,-114.544,19.1241,51.921,pc,PM*,G5V,,8.495264,9.26,8.64
HD 224934,,HD 224934,,,,,,,0.49138606276,0.12857629077,-53.585,-48.408,13.3567,74.869,pc,PM*,G6V,,9.21683,10.07,9.31
HD 224897,,HD 224897,HIP 129,,,,,,0.41561667955,5.37280803502,6.039,23.429,5.1878,192.76,pc,*,F6V,,9.195368,9.88,9.38
HD 224925,,HD 224925,,,,,,,0.47043136575,7.34110821744,28.905,-11.526,3.7543,266.361,pc,*,G5,,9.479153,10.17,9.62
HD 224933,,HD 224933,,,,,,,0.48912912676,7.43290513866,19.555,11.971,6.4287,155.552,pc,*,F8,,9.57035,10.24,9.7
HD 224932,,HD 224932,HIP 153,,,,,,0.48450786916,12.65488769762,-12.243,-28.978,4.6497,215.068,pc,*,F8,,8.791101,9.31,8.84
HD 224931,,HD 224931,HIP 148,,,,,,0.47882005463,15.52854117111,10.787,5.24,4.4083,226.845,pc,*,F8,,8.008915,8.73,8.15
HD 224896,,HD 224896,HIP 126,,,,,,0.40882607207,14.63232506905,36.963,7.522,3.0478,328.106,pc,*,G5,,7.79954,9.02,8.05
HD 224924,,HD 224924,,,,,,,0.44423938713,18.75487132793,16.019,-4.118,2.9201,342.454,pc,*,K0,,8.195474,9.64,8.48
HD 224923,,HD 224923,HIP 147,,,,,,0.46605968916,21.02623564389,6.563,-5.356,1.2232,817.528,pc,*,K5,,7.909909,9.97,8.47
HD 224907,,HD 224907,HIP 136,,,,,,0.42869153221,24.2531127806,18.493,-28.176,5.4909,182.12,pc,*,K2III-IV,,6.261549,7.76,6.59
HD 224922,,HD 224922,,,,,,,0.46939346755,26.11620304982,-18.827,-40.588,2.6096,383.2,pc,*,K0,,8.434376,9.77,8.72
HD 224921,,HD 224921,HIP 141,,,,,,0.45348800275,36.35035824995,19.182,5.2,4.0897,244.517,pc,*,K5,,8.041692,9.78,8.45
HD 224906,,HD 224906,HIP 137,HR 9086,,,,,0.43270504389,42.36714334089,4.654,-1.959,2.9772,335.886,pc,*,B9IIIp?(HgMn?),,6.226424,6.197,6.24
HD 224941,,HD 224941,,,,,,,0.49364656482,44.09582965819,2.47,-3.668,1.7997,555.648,pc,*,A,,9.752549,9.81,9.79
HD 224916,,HD 224916,,,,,,,0.45009210261,-79.83712861808,26.073,-4.258,1.8369,544.395,pc,*,K0,,9.379115,10.97,9.72
HD 224904,,HD 224904,,,,,,,0.40721092299,-70.32424273571,23.587,-28.753,8.748,113.446,pc,*,G0/2V,9.43,9.653302,10.44,9.863
HD 224915,,HD 224915,HIP 140,,,,,,0.45333110244,-68.10489308838,100.678,-33.596,8.8192,113.416,pc,PM*,F7V,,8.921438,9.54,9.511
HD 224929,,HD 224929,,,,,,,0.45020206055,-67.37103661252,-3.709,-12.819,5.6572,173.975,pc,*,G0/2III(+A/F),,10.036402,10.67,10.158
HD 224903,,HD 224903,,,,,,,0.4144982378,-64.76115928112,13.396,3.081,1.7087,585.24,pc,*,M2III,,7.565182,10.02,8.45
CD-49 14318,,,HIP 127,,,,,,0.41227784368,-48.93565229158,43.82,-200.914,13.3382,86.212,pc,PM*,,,10.562162,11.772,10.791
HD 224928,,HD 224928,,,,,,,0.45692877336,-48.56245365424,139.329,3.411,3.9876,250.777,pc,PM*,F0/2IV/V,,9.050876,9.49,9.13
CTLGM 5875,,,,,,,,,0.49450756061,-28.59746276643,-0.167,-0.054,0.4386,,,G,,15.989,18.828474,17.488,14.8
2MASX J00014314-2817292,,,,,,,,,0.42973016711,-28.29144150415,-3.3,-5.3,,,,G,,16.106,20.076893,17.455,14.91
2MASX J00014526-3055092,,,,,,,,,0.43859752169,-30.91931595978,7.1,-6.0,,,,G,,16.717,21.749117,18.015,15.93
2dFGRS TGS357Z207,,,,,,,,,0.47069930071,-30.77837405287,12.6,-6.7,,,,G,,16.75,21.289652,17.869,15.81
2dFGRS TGS358Z256,,,,,,,,,0.4795,-30.9839997,3.5,1.4,,,,G,,16.712,,17.505,15.42
CTLGD 8691,,,,,,,,,0.42276286623,-29.49579645755,4.8,-2.9,,,,EmG,,15.78,20.411064,17.07,14.18
CTLGD 6975,,,,,,,,,0.4347,-29.865336,5.2,0.2,,,,EmG,,15.31,,16.78,13.41
2MASX J00015075-3005323,,,,,,,,,0.46148235879,-30.09238230364,-1.197,-0.097,1.6552,,,G,,15.75,19.469563,17.02,14.11
HD 224969,,HD 224969,HIP 173,,,,,,0.54957267866,47.57720413702,-7.179,-7.591,3.0243,330.655,pc,*,A2,,8.387774,8.68,8.44
HD 224993,,HD 224993,,,,,,,0.5916863,50.4998247,-8.9,-1.4,,,,**,A0,,,7.53,7.46
HD 224968,,HD 224968,HIP 175,,,,,,0.552420573,49.77108693293,-9.246,-19.234,3.5284,283.415,pc,*,G5,,7.608661,8.75,7.83
HD 236280,,HD 236280,HIP 182,,,,,,0.58118710852,52.58640614303,4.708,-12.73,2.3479,425.913,pc,*,K0,,8.253679,9.57,8.53
HD 236279,,HD 236279,,,,,,,0.55270163929,55.00003371145,5.962,-0.425,3.4941,286.197,pc,*,F8,,8.70357,9.62,8.92
HD 224981,,HD 224981,,,,,,,0.56881520647,56.76453116155,72.218,-5.155,3.4652,288.584,pc,PM*,K2II,,7.832612,9.36,8.17
V* V822 Cas,,HD 224980,HIP 181,,,,,,0.57377317602,60.70316796437,-8.963,-11.082,2.5792,387.717,pc,LP*,M0,,5.742062,8.53,6.753
HD 240476,,HD 240476,,,,,,,0.57479939231,60.50598064044,-71.476,-98.518,26.1595,38.227,pc,PM*,K5,,9.365582,10.65,9.71
HD 224940,,HD 224940,HIP 164,,,,,,0.51912717193,59.94010091841,113.301,36.52,3.8212,261.698,pc,PM*,G9III,,7.709221,8.93,7.96
HD 240475,,HD 240475,HIP 174,,,,,,0.55163355759,59.96534552738,14.033,-0.367,2.6242,381.069,pc,SB*,G9II-III,,8.529044,9.88,8.85
BD+66  1675,,,HIP 172,,,NGC 7822 14,,,0.54286960254,67.40895246161,-1.649,-2.068,0.9248,1081.315,pc,*,O7.5Vz,,8.576736,10.16,9.08
HD 224949,,HD 224949,HIP 158,,,,,,0.50084468252,-37.9018764815,121.128,-35.553,5.7979,172.476,pc,PM*,K0III,,6.82281,8.1,7.09
HD 224977,,HD 224977,,,,,,,0.56069753542,-33.73021639879,22.79,-1.932,3.8188,261.862,pc,*,F8/G0V,,9.74737,10.44,9.84
LEDA  198765,,,,,,,,,0.56984534317,-31.77533296809,6.4,-9.4,,,,Sy2,,15.54,19.814062,16.41,13.49
HD 224964,,HD 224964,HIP 163,,,,,,0.51719396828,-30.68522914017,17.864,2.017,4.1288,238.146,pc,*,A3V,,8.970078,9.07,8.96
HD 224998,,HD 224998,,,,,,,0.59696209068,-28.56906949763,4.236,-14.21,2.5298,395.288,pc,*,K1III,,8.636036,10.03,8.91
* zet Scl,,HD 224990,HIP 183,HR 9091,,,,,0.58302942717,-29.72044125463,9.181,15.079,4.8234,207.323,pc,SB*,B5IV,,4.994605,4.879,5.022
HD 224976,,HD 224976,,,,,,,0.54968881218,-30.25081008152,20.1,2.8,,,,*,F3V,,10.297121,10.36,10.0
ESO 409-5,,,,,,,,,0.51466393784,-28.58314188321,2.7,-0.6,,,,G,,14.9,19.581308,16.43,13.19
MCG-05-01-025,,,,,,,,,0.52276259872,-30.61905279852,2.6,0.4,,,,G,,14.533,18.585588,15.91,11.7
ESO 409-6,,,,,,,,,0.568863,-30.498647,-2.3,-5.4,,,,Sy2,,15.22,,16.34,13.05
LEDA  132727,,,,,,,,,0.54774265028,-28.91502416704,1.3,-0.8,,,,EmG,,,19.995884,16.41,12.71
HD 224975,,HD 224975,,,,,,,0.56218540055,-26.67855012125,68.865,-8.446,5.5908,178.865,pc,PM*,G0V,,9.270076,9.91,9.34
2dFGRS TGS198Z046,,,,,,,,,0.50408764581,-27.67762314569,2.2,-10.7,,,,G,,15.137,20.537437,16.412,12.9
HD 224963,,HD 224963,,,,,,,0.51795113785,-22.67412123909,36.364,-15.831,2.1335,468.713,pc,*,K0III,,9.534201,10.92,9.8
HD 224962,,HD 224962,HIP 165,,,,,,0.51971658134,-22.3274852889,-8.636,-6.704,1.683,594.177,pc,*,ApSr(Cr),,10.091622,10.54,10.12
HD 224961,,HD 224961,HIP 170,,,,,,0.53760182162,-20.87166236176,-30.464,-10.033,3.9722,322.0923,pc,*,F5V,,9.512423,10.09,9.61
V* W Cet,,HD 224960,,HR 9090,,,,,0.53079157666,-14.6758423953,6.498,-7.133,0.921,1085.776,pc,S*,S5.5-7/1.5-3e,9.14,8.950414,16.09,14.46
HD 224973,,HD 224973,HIP 177,,,,,,0.56021980528,-11.96434837596,8.96,-3.365,4.9063,203.82,pc,SB*,A1mA5/7-A8,,8.906956,9.09,8.93
HD 224974,,HD 224974,HIP 179,,,,,,0.56951743254,-13.40743587506,262.142,32.741,16.098,62.12,pc,SB*,G0V,,6.78791,7.43,6.89
HD 224988,,HD 224988,HIP 180,,,,,,0.57091424425,-9.17492855123,4.652,-13.912,2.5705,389.029,pc,*,K2III/IV,,8.134801,9.67,8.46
HD 224987,,HD 224987,,,,,,,0.57238531681,-6.97031460601,1.615,10.563,1.4372,695.797,pc,*,G6/8IV,,9.207656,10.67,9.6
HD 224959,,HD 224959,HIP 168,,,,,,0.53342282844,-2.82006466254,-36.611,-91.826,1.6559,603.901,pc,SB*,CEMP-rs,,9.305923,10.6,9.6
HD 224946,,HD 224946,,,,,,,0.50895462619,-3.27449513543,44.567,-32.221,6.0558,165.131,pc,PM*,G5V,,9.446032,10.24,9.59
HD 224947,,HD 224947,HIP 157,,,,,,0.50042326128,-5.21392470356,38.786,29.721,5.828,171.585,pc,*,G8IV,,8.279795,9.41,8.51
V* BU Psc,,HD 224945,HIP 159,,,,,,0.51090459133,-2.76617089017,38.238,-3.32,15.6486,63.903,pc,gD*,A9V/IV,,6.871397,7.2,6.92
HD 224972,,HD 224972,,,,,,,0.55663345009,-0.48524787731,-1.242,-3.85,3.6012,277.685,pc,*,F0V,,9.564974,10.12,9.66
HD 224985,,HD 224985,,,,,,,0.57122013026,-0.36007023898,35.445,-40.733,4.018,262.15,pc,PM*,G8/K0,,10.50622,11.5,10.8
HD 224944,,HD 224944,,,,,,,0.51525164093,-1.55251813311,114.333,-55.843,10.0178,99.822,pc,PM*,G8V,,10.203774,11.13,10.32
HD 224986,,HD 224986,,,,,,,0.5717014556,-2.13914582174,46.345,-44.209,9.5539,104.266,pc,PM*,F8V,,9.488021,10.2,9.71
HD 224958,,HD 224958,,,,,,,0.52698829468,0.41534212846,45.43,2.008,7.596,131.648,pc,*,F3V,,9.04455,9.55,9.12
HD 224971,,HD 224971,,,,,,,0.546571103,0.47327951455,30.347,8.352,4.2759,233.869,pc,SB*,F3/5V,,10.109268,10.7,10.29
HD 224983,,HD 224983,HIP 184,,,,,,0.58976198687,11.00623756195,-4.919,-42.738,29.589,33.796,pc,*,K0,,8.250363,9.33,8.47
HD 224984,,HD 224984,HIP 185,,,,,,0.59003849821,10.78536381865,-49.31,-115.575,10.0796,99.21,pc,PM*,F8,,8.41476,9.05,8.5
BD+26  4735,,,HIP 162,,,,,,0.51335263623,27.11860418319,-5.017,-7.974,3.0747,325.235,pc,*,G0,,9.674858,10.48,9.8
*  85 Peg,,HD 224930,HIP 171,HR 9088,,,,,0.5431196641087,27.0818330838094,716.46,-941.497,81.179,12.3185,pc,SB*,G5VbFe-2,5.16,5.595876,6.42,5.75
BD+32  4753,,,HIP 161,,,,,,0.51240767307,33.69596105295,-24.907,-12.145,1.3736,728.014,pc,*,K5,,8.472102,10.41,8.93
HD 224982,,HD 224982,,,,,,,0.59026533584,34.84017664067,-44.172,-15.363,3.6907,270.951,pc,*,K0,,7.6328,8.96,7.93
HD 224957,,HD 224957,HIP 167,,,,,,0.52782596697,39.18320549121,5.982,-3.322,3.2766,305.194,pc,*,B9,,8.569393,8.64,8.57
HD 224956,,HD 224956,,,,,,,0.5387489586,42.12119154402,4.053,-3.3,2.668,374.813,pc,*,A0,,9.163283,9.19,9.16
HD 224942,,HD 224942,,,,,,,0.51419220399,40.13255715414,48.894,18.022,6.9451,143.986,pc,PM*,F2,,8.974296,9.53,9.09
HD 224955,,HD 224955,,,,,,,0.53045552993,44.53221969714,26.986,-7.774,2.2491,444.622,pc,*,K2,,6.693346,9.21,7.55
HD 224970,,HD 224970,HIP 176,,,,,,0.55339975627,44.42825971133,19.073,-6.714,3.7886,263.95,pc,SB*,K0,,8.70976,9.38,8.84
HD 224966,,HD 224966,,,,,,,0.55309888135,-79.28364358599,50.8,-3.468,5.056,196.519,pc,PM*,F6/7IV/V,,9.889539,10.594,10.154
HD 224967,,HD 224967,,,,,,,0.50378313294,-81.28323091037,6.761,5.127,3.7309,262.213,pc,*,A9V,,9.958479,10.39,10.04
HD 224979,,HD 224979,,,,,,,0.56610901799,-72.6293923471,27.786,21.522,3.8715,248.584,pc,*,F3IV/V,,9.81924,10.28,9.88
HD 224978,,HD 224978,,,,,,,0.54967025011,-67.52536079959,21.03,-10.442,2.9987,325.697,pc,*,K0/1(III),,9.320396,10.513,9.722
HD 224953,,HD 224953,HIP 169,,,,,,0.53640043,-68.28076443,209.95,-229.66,65.24,15.33,pc,**,K5/M0V,8.372,,10.646,9.241
HD 224954,,HD 224954,HIP 160,,,,,,0.5117914233,-69.26919720112,15.009,4.699,2.3849,419.305,pc,*,B9V,,8.668863,8.62,8.66
HD 224953B,,HD 224953B,,,,,,,0.5389671913667,-68.2814754505953,199.019,-239.255,58.9753,16.9563,pc,PM*,,,10.076243,12.01,10.56
HD 224952,,HD 224952,,,,,,,0.50228759363,-64.84347516725,44.851,0.015,3.1047,319.548,pc,*,K1III,,8.945062,10.476,9.603
HD 224965,,HD 224965,HIP 166,,,,,,0.5213170622,-56.51492944516,-47.594,-11.492,9.2855,107.695,pc,*,G3V,,8.704645,9.52,8.86
HD 224951,,HD 224951,,,,,,,0.5186760987,-52.87528104551,4.649,-1.054,5.2353,192.064,pc,*,F3/5V,,9.977683,10.511,10.163
HD 224950,,HD 224950,,,,,,,0.50969139724,-47.9304075537,17.826,-6.267,3.3408,327.091,pc,*,F5,,10.459826,10.988,10.504
2MASX J00020592-2848021,,,,,,,,,0.52487657139,-28.80062919275,1.1,-1.5,,,,G,,16.285,19.56585,17.592,15.08
2MASX J00021378-2853430,,,,,,,,,0.55745,-28.895281,-0.6,-2.6,,,,G,,16.413,,17.569,15.17
2MASX J00020473-2856411,,,,,,,,,0.51963094456,-28.94465262652,3.7,-3.7,,,,G,,16.437,21.045033,17.932,15.63
2dFGRS TGS277Z199,,,,,,,,,0.5425788,-28.9006097,-0.5,11.7,,,,G,,17.111,,17.846,15.89
LEDA 3587912,,,,,,,,,0.56693161738,-29.43971082246,2.5,0.2,,,,EmG,,15.09,19.639074,16.55,12.72
HD 224953A,,HD 224953A,,,,,,,0.5363674559412,-68.2807642801947,216.425,-226.585,65.8083,15.177,pc,PM*,K5.0,,8.920758,10.81,9.57
HD 224989B,,HD 224989B,,,,,,,0.56714159328,-27.13489728391,98.846,6.951,10.474,95.475,pc,PM*,,,8.752354,9.59,8.94
HD 224989A,,HD 224989A,,,,,,,0.56804835009,-27.13515298469,92.226,8.546,9.0301,110.741,pc,PM*,,9.15,8.456539,9.06,8.55
TYC 6415-610-1,,,,,,,,,0.56723888972,-25.49576864026,22.496,-12.006,4.282,230.882,pc,*,,,11.367532,12.11,11.56
HD 224999,,HD 224999,HIP 195,,,,,,0.62577981579,47.42289044097,11.888,-28.654,8.8386,113.14,pc,*,F8,,7.507746,8.11,7.61
HD 236283,,HD 236283,,,,,,,0.66497841481,50.73175236697,0.376,-5.2,1.4758,677.599,pc,*,A0,,9.80772,9.86,9.8
HD 225021,,HD 225021,HIP 213,,,,,,0.66702746182,51.472399879,41.639,-5.303,4.1769,239.412,pc,*,G5,,7.446955,8.7,7.7
HD 236282,,HD 236282,HIP 196,,,,,,0.62700592248,51.82997652184,0.444,-1.072,0.9242,1082.017,pc,*,K5,,8.298363,10.56,8.92
HD 225011,,HD 225011,,,,,,,0.6476553,55.572295,28.8,-29.1,,,,**,K0,8.718,,9.071,8.43
HD 225012,,HD 225012,HIP 202,,,,,,0.6417448996,54.55213746135,2.788,-9.698,2.2685,440.82,pc,*,F0,,8.565803,8.9,8.61
HD 236281,,HD 236281,HIP 189,,,,,,0.60523830426,54.13513858712,-11.472,-8.616,3.1599,316.466,pc,Pu*,A3,,9.526061,9.79,9.58
HD 240478,,HD 240478,,,,,,,0.67909972086,57.80841346946,-3.222,-3.226,1.217,821.693,pc,*,B8,,9.393761,9.58,9.45
HD 240477,,HD 240477,,,,,,,0.65177797318,59.82776293754,-31.492,18.488,6.6105,151.274,pc,*,G0,,9.167914,9.82,9.28
HD 240480,,HD 240480,,,,,,,0.68729707577,59.95997760108,-3.63,-2.873,0.8278,1208.021,pc,*,K,8.817,8.943369,10.66,9.338
HD 240479,,HD 240479,,,,,,,0.68206929526,59.96093394804,-3.747,-1.714,0.8758,1141.813,pc,*,A0,,10.16998,10.39,10.26
HD 225009,,HD 225009,HIP 207,HR 9094,,,,,0.65038605722,66.09896334536,7.262,-0.137,4.0626,246.148,pc,*,G8III,,5.585219,6.912,5.842
HD 225010,,HD 225010,HIP 209,,,,,,0.66021391445,66.10037345352,8.254,-0.295,4.063,246.124,pc,*,A2V,,7.336741,7.42,7.34
HD 224992,,HD 224992,,,,,,,0.60278944248,67.1628348448,-11.309,-24.815,4.3566,229.537,pc,SB*,G0,,7.446735,8.47,7.65
V* V396 Cep,,,HIP 215,,,,,,0.67452202558,75.03621059232,3.122,6.944,1.4391,694.879,pc,LP?,M2,,8.139162,10.98,9.27
HD 225020,,HD 225020,HIP 221,,,,,,0.69399270064,80.28226837585,45.554,19.325,6.9016,144.894,pc,EB*,F2,,7.588666,8.11,7.69
HD 225019,,HD 225019,HIP 217,,,,,,0.67425598543,82.97320013932,-12.56,-1.784,2.7007,370.274,pc,*,A0,,7.27391,7.39,7.28
HD 224991,,HD 224991,,,,,,,0.61597431484,87.03271502497,18.454,8.299,6.8864,145.214,pc,*,F0,,7.779442,8.14,7.84
HD 225017,,HD 225017,HIP 204,,,,,,0.64522635737,-43.94792582714,41.964,-5.211,2.4762,403.845,pc,*,K3III,,8.139615,9.8,8.53
HD 225043,,HD 225043,HIP 222,,,,,,0.69446265558,-40.98323091526,-5.519,-21.108,2.9765,335.965,pc,*,K1III,,8.54381,9.99,8.85
HD 225006,,HD 225006,HIP 193,,,,,,0.6217326273,-39.21258703567,29.466,-36.159,3.8281,261.226,pc,*,G8/K0III,,9.205852,10.4,9.43
CD-38 15719,,,HIP 211,,,,,,0.66321560794,-37.94771235402,10.596,-17.26,4.053,246.731,pc,*,G8,,9.289239,10.37,9.5
CD-34 16275,,,HIP 200,,,,,,0.63548760314,-33.99263422364,7.608,15.656,2.7587,362.49,pc,*,F0,,10.215187,10.628,10.25
2dFGRS TGS358Z123,,,,,,,,,0.64159118218,-30.73499629179,-0.4,1.9,,,,BiC,,15.034,19.236628,16.258,12.65
ESO 409-7,,,,,,,,,0.63474460324,-30.62162485925,1.9,-0.1,,,,G,,13.2,19.719328,14.5,9.77
CD-29 18938,,,HIP 212,,,,,,0.66350866427,-29.07524169103,15.597,1.828,3.5512,223.935,pc,SB*,F2V,,10.129822,10.59,10.25
HD 225030,,HD 225030,,,,,,,0.69253078536,-21.24001960644,1.465,-5.964,5.4842,179.856,pc,*,G2/3V,,10.225741,10.906,10.337
HD 225031,,HD 225031,,,,,,,0.68825416501,-21.88830856885,94.016,68.373,16.778,60.061,pc,PM*,G8/K0V,,9.090732,9.998,9.399
V* AU Cet,,HD 225016,,,,,,,0.66378994523,-19.44411503805,5.419,-13.701,0.8862,1128.41,pc,LP*,M1/3,9.263,8.262724,11.21,11.3
HD 225005,,HD 225005,HIP 203,,,,,,0.64228207474,-15.83125142809,20.748,7.303,2.0494,487.948,pc,*,K0III,,8.914089,10.16,9.2
HD 225015,,HD 225015,HIP 210,,,,,,0.6621411873747,-8.4879611561642,-3.415,-5.966,6.4591,151.545,pc,**,F8/G0V,,8.965019,9.749,9.376
HD 224997,,HD 224997,HIP 187,,,,,,0.60229018965,-6.05926740296,71.883,-35.219,7.6684,130.405,pc,PM*,F5V,,8.884155,9.41,8.91
HD 225038,,HD 225038,,,,,,,0.69934799075,-6.25833942629,42.851,-13.139,9.884,101.683,pc,*,G8V,,9.851027,10.675,10.055
HD 225037,,HD 225037,,,,,,,0.6957025207,-2.91671826755,-15.473,-27.925,5.7438,177.72,pc,*,A9V,,8.575427,8.92,8.6
HD 225029,,HD 225029,,,,,,,0.67563133756,-3.39089541056,-10.348,-4.512,1.5018,665.868,pc,*,K0III,,9.468966,10.78,9.72
HD 225014,,HD 225014,HIP 205,,,,,,0.64564216852,-5.1866489421,-23.293,-2.135,8.2158,121.717,pc,*,F0V,,8.447775,8.91,8.53
HD 225028,,HD 225028,HIP 223,,,,,,0.69655854,2.13015261,60.57,-92.06,23.46,,,**,F8/G0V,7.87,,9.04,8.6
HD 225028B,,HD 225028B,,,,,,,0.6966745794,2.12973044944,70.785,-90.451,23.3092,42.902,pc,PM*,,,8.972274,10.17,9.26
NGC  7811,,,,,,NGC 7811,,,0.61008436902,3.35192811058,-0.068,0.24,,104.7,Mpc,Sy1,,,16.429274,15.33,14.68
BD+03  4924,,,HIP 224,,,,,,0.69625741367,3.86041649248,2.33,4.73,2.0771,481.44,pc,*,K0,,8.749537,9.99,9.02
HD 225004,,HD 225004,HIP 192,,,,,,0.61982469267,8.39386130163,-2.753,-28.34,3.3161,301.559,pc,*,G5,,7.886728,9.18,8.17
HD 224996,,HD 224996,HIP 188,,,,,,0.60269800861,6.33301238929,79.318,-51.161,9.7253,102.825,pc,PM*,F5,,8.520445,9.11,8.63
HD 225027,,HD 225027,HIP 219,,,,,,0.69030789256,6.03440151356,32.074,-20.963,10.2032,98.008,pc,*,F8,,8.449332,9.11,8.55
* c Psc,,HD 225003,HIP 194,HR 9093,,,,,0.6237587268108,8.4854637136311,-93.867,-46.971,26.6268,37.5561,pc,PM*,F1V,,5.635739,5.996,5.69
HD 224994,,HD 224994,HIP 190,,,,,,0.6054331646324,10.77630732539,-44.794,-102.841,4.8991,,,**,G0,,8.621501,9.35,8.73
*  31 Psc,,HD 224995,HIP 186,HR 9092,,,,,0.60069473069,8.95682488282,-0.947,-3.57,8.078,123.793,pc,*,A6V,,6.304925,6.497,6.325
HD 225026,,HD 225026,,,,,,,0.6711964813,10.90675633767,-45.054,-28.284,2.839,352.237,pc,PM*,K2,,8.79832,10.28,9.07
HD 225025,,HD 225025,,,,,,,0.67765152228,13.93068817794,-11.791,7.448,3.4813,287.249,pc,*,K2,,7.863745,9.37,8.19
HD 225001,,HD 225001,HIP 199,,,,,,0.63499961138,16.25656310199,-12.815,5.058,4.5264,220.926,pc,*,A0,,7.227994,7.29,7.23
HD 225002,,HD 225002,HIP 198,,,,,,0.63275025899,15.33517409928,21.89,-6.576,3.7316,267.982,pc,Pe*,kA2hA7mA8Sr,,8.910211,9.18,8.96
HD 225000,,HD 225000,HIP 201,,,,,,0.63926397235,18.68342841555,-14.582,14.517,9.9964,100.036,pc,**,F5,,8.146466,8.71,8.24
HD 225013,,HD 225013,HIP 206,,,,,,0.64679287567,18.83604341988,-18.555,19.414,10.4802,95.418,pc,*,G0,,8.45711,9.03,8.56
HD 225024,,HD 225024,HIP 214,,,,,,0.66917939828,28.54222949779,-0.41,-1.031,5.4936,182.03,pc,*,A3,,8.1199,8.45,8.15
HD 225023,,HD 225023,HIP 220,,,,,,0.69177788378,35.81546721058,12.923,-2.32,5.4556,183.298,pc,*,A0,,7.47762,7.7,7.52
BD+41  4924,,,HIP 197,,,,,,0.63230481021,42.14778178641,-7.457,-6.952,2.2324,447.948,pc,*,K0,,8.699654,9.91,8.97
HD 225022,,HD 225022,HIP 216,,,,,,0.67687615504,42.92066309031,-11.342,-18.029,3.7868,264.075,pc,*,A0,,7.932024,7.95,7.94
