MAIN_ID,ID_name,ID_HD,ID_HIP,ID_HR,ID_M,ID_NGC,ID_IC,ID_Ocl,RA_d,DEC_d,PMRA,PMDEC,PLX_VALUE,Distance_distance,Distance_unit,OTYPE_otypes,SP_TYPE,FLUX_R,FLUX_G,FLUX_B,FLUX_V
CD-25 16747,,,HIP 85,,,,,,0.25614157909,-24.71403560221,45.541,-0.651,3.6355,236.98,pc,*,F0p,,10.505413,10.91,10.56
HD 224818,,HD 224818,,,,,,,0.2305248159967,-20.42398313648,-8.002,-9.971,2.2969,435.369,pc,*,A1IV,10.08,9.960469,10.021,9.994
HD 224841,,HD 224841,HIP 92,,,,,,0.2906943478,-20.70554914063,26.6,15.477,2.41,414.938,pc,*,G8III,,8.439182,9.61,8.67
HD 224819,,HD 224819,,,,,,,0.24923355471,-21.65173559715,4.794,-3.441,4.3663,223.589,pc,SB*,G5/8(V),,9.983202,10.88,10.06
HD 224817,,HD 224817,HIP 80,,,,,,0.24283086041,-11.8237394314586,418.215,-83.06,14.0637,71.634,pc,PM*,G2V,,8.258347,9.393,9.113
HD 224810,,HD 224810,HIP 72,,,,,,0.21993503971,-12.82896050353,188.595,-119.558,11.4329,87.467,pc,SB*,G3/5V,,8.811991,9.65,8.97
BD-11  6177,,,HIP 82,,,,,,0.24801807203,-10.93596374409,-5.529,-65.161,0.9297,1054.37,pc,PM*,G5,,9.139559,10.505,9.684
HD 224829,,HD 224829,HIP 87,,,,,,0.26149638466,-5.83500136146,-7.645,-10.588,4.914,203.5,pc,*,F5IV,,7.700641,8.21,7.79
HD 224840,,HD 224840,HIP 91,,,,,,0.28053096637,-5.87434550544,-13.832,-5.308,3.3552,298.045,pc,*,K3III,,7.275557,8.93,7.64
MCG-01-01-021,,,,,,,,,0.20214581816,-5.58001967263,-1.313,-3.694,,,,EmG,,,19.720892,13.78,12.49
HD 224828,,HD 224828,HIP 81,,,,,,0.24340772805,-4.93253584463,-187.001,-173.233,22.2093,45.026,pc,PM*,G5V,,8.416722,9.22,8.57
HD 224839,,HD 224839,HIP 93,,,,,,0.29233276507,-0.07611040791,42.194,-64.748,15.7099,63.819,pc,PM*,G3V,,7.981884,8.7,8.14
HD 224838,,HD 224838,,,,,,,0.263232282,2.42346696884,25.644,-4.218,3.6757,272.057,pc,*,G8/K1(IV),,9.856347,11.08,10.09
HD 224808,,HD 224808,HIP 68,,,,,,0.2004323303625,16.9881147781117,-52.202,-307.385,33.259,30.067,pc,**,K0,8.9,8.541258,9.73,9.39
HD 224807,,HD 224807,,,,,,,0.2004682174,19.58447553261,-17.71,-9.055,5.5036,181.699,pc,*,F5,,9.041516,9.47,9.08
HD 224816,,HD 224816,HIP 78,,,,,,0.23230683082,17.86783658152,-2.069,5.779,1.9953,501.178,pc,*,K0,,7.708723,9.26,8.06
HD 224827,,HD 224827,,,,,,,0.24335131173,22.72646894109,-41.861,-84.074,8.8047,113.576,pc,PM*,F8,,8.466266,9.01,8.58
HD 224804,,HD 224804,HIP 69,,,,,,0.20141204458,30.39588755237,14.451,-2.198,5.7801,173.007,pc,*,A0,,8.32446,8.43,8.3
V* V401 And,,,HIP 76,,,,,,0.22821875757,32.82565620757,-2.517,-8.087,1.2828,779.545,pc,LP?,M0,,8.014009,10.59,9.01
BD+34  5046,,,HIP 79,,,,,,0.23577027344,35.3167264932,11.998,-13.205,3.8472,259.929,pc,*,F5,,8.559238,9.18,8.68
HD 224803,,HD 224803,HIP 71,,,,,,0.20702433181,36.78009900429,-24.63,-22.343,6.6401,150.6,pc,*,G5,,8.05251,9.1,8.26
HIP 70,,,HIP 70,,,,,,0.20272295647,36.77757263347,-25.179,-21.605,6.6902,149.472,pc,*,,,10.379111,10.97,10.22
HD 224697,,HD 224697,,,,,,,0.21203412437,-88.32831369618,10.697,2.198,1.6721,598.05,pc,V*,A4III,,9.369811,9.75,9.39
HD 224813,,HD 224813,,,,,,,0.24647693023,-78.57380120293,6.084,-52.051,6.0841,163.24,pc,PM*,G0/2V,,9.739897,10.578,9.91
HD 224824,,HD 224824,,,,,,,0.26892754294,-76.62074141972,23.493,9.106,1.513,664.339,pc,*,G5/8,,9.687965,11.109,10.183
HD 224812,,HD 224812,,,,,,,0.2156301214,-65.64683291167,5.888,2.33,0.9236,1082.72,pc,SB*,K1(IV),,8.849458,10.66,9.27
HD 224822,,HD 224822,,,,,,,0.23926917355,-54.75562164126,7.5,-6.388,2.2539,443.675,pc,**,F5,,10.846651,11.39,10.94
