MAIN_ID,ID_name,ID_M,ID_NGC,ID_IC,ID_Ocl,RA_d,DEC_d,PLX_VALUE,OTYPE_otypes,FLUX_V
* bet Ori,NAME Rigel,,,,,78.63446707,-8.20163836,3.78,s*b,0.13
C 0519+409,,,,,OCl 423.0,80.577,41.025,,OpC,4.2
NGC  1857,,,NGC 1857,,OCl 428.0,80.031,39.336,0.32,OpC,7.0
HD  34989,,,,,,80.4315099249,8.42855535544,2.5571,*,5.8
M  79,,M 79,NGC 1904,,,81.04413,-24.52425,0.088,GlC,8.16
NGC  1907,,,NGC 1907,,OCl 434,82.033,35.33,0.611,OpC,8.2
M  38,,M 38,NGC 1912,,OCl 433.0,82.167,35.824,0.874,OpC,6.4
M  36,,M 36,NGC 1960,,OCl 445,84.084,34.135,0.835,OpC,6.0
Cl Collinder   69,NAME lam Ori Cluster,,,,OCl 479.0,83.792,9.813,2.462,OpC,2.8
* eps Ori,NAME Alnilam,,,,,84.05338894,-1.20191914,1.65,s*b,1.69
NGC  1981,NAME Upper Sword,,NGC 1981,,OCl 525.0,83.848,-4.486,2.5387,OpC,4.2
NGC  1980,NAME Lower Sword,,NGC 1980,,OCl 529.0,83.81,-5.924,2.586,OpC,2.5
M  37,,M 37,NGC 2099,,,88.074,32.545,0.666,OpC,5.6
NAME Basel 11B,NAME Basel 11B,,,,,89.547,21.965,0.534,OpC,8.9
NGC  2129,,,NGC 2129,,OCl 467,90.275,23.328,0.491,OpC,6.7
IC 2157,,,,IC 2157,OCl 465,91.183,24.091,0.448,OpC,8.4
NGC  2175,,,NGC 2175,,OCl 476.0,92.413,20.487,,OpC,6.8
NGC  2169,,,NGC 2169,,OCl 481,92.125,13.951,0.982,OpC,5.9
Cl Collinder   89,,,,,OCl 473.0,94.5,23.633,,OpC,5.7
NGC  2194,,,NGC 2194,,,93.44,12.813,0.263,OpC,8.5
NGC  2186,,,NGC 2186,,OCl 498,93.031,5.453,0.413,OpC,8.7
Cl Collinder   91,,,,,,95.46,2.374,,OpC,6.4
NGC  2215,,,NGC 2215,,,95.199,-7.277,1.021,OpC,8.45
NGC  2204,,,NGC 2204,,,93.882,-18.67,0.209,OpC,8.6
Cl Bochum    1,,,,,,96.323,19.78,,OpC,7.9
NGC  2236,,,NGC 2236,,OCl 501.0,97.416,6.834,0.35,OpC,8.5
Cl Collinder   97,,,,,OCl 506.0,97.825,5.917,,OpC,5.4
Cl Collinder   92,,,,,,95.73,5.1,,OpC,8.6
Cl Collinder   96,,,,,OCl 523,97.627,2.845,,OpC,7.3
NGC  2250,,,NGC 2250,,,98.422,-5.08,,OpC,8.9
NGC  2251,,,NGC 2251,,OCl 499,98.68,8.337,0.658,OpC,7.3
Cl Basel    7,,,,,,99.075,8.33,,OpC,8.5
ESO-HA  456,,,,,,100.2509214754,9.65194044418,1.1109,TT*,7.37
Cl Collinder  111,,,,,,99.708,6.915,,OpC,7.0
Cl Collinder  106,,,,,OCl 510,99.278,6.002,0.635,OpC,4.6
NGC  2252,,,NGC 2252,,,98.75458,5.42039,1.47928,OpC,7.7
Cl Collinder  107,,,,,OCl 518,99.203,4.972,0.617,OpC,5.1
NGC  2281,,,NGC 2281,,,102.091,41.06,1.896,OpC,5.4
Cl Dolidze   25,,,,,OCl 537,101.275,0.3,,OpC,7.6
NGC  2301,NAME Great Bird Cluster,,NGC 2301,,OCl 540.0,102.943,0.465,1.135,OpC,6.0
NGC  2286,,,NGC 2286,,OCl 548,101.916,-3.167,0.407,OpC,7.5
M  41,,M 41,NGC 2287,,OCl 597.0,101.499,-20.716,1.36,OpC,4.5
Cl Collinder  121,,,,,OCl 619.0,104.083,-24.73,,OpC,2.6
HD  50896,,,,,,103.55434983683,-23.92833981107,0.6505,WR*,6.91
NGC  2298,,,NGC 2298,,,102.24754,-36.00531,0.121,GlC,8.89
NGC  2331,,,NGC 2331,,OCl 475,106.68,27.255,,OpC,8.5
NGC  2324,,,NGC 2324,,,106.033,1.046,0.191,OpC,8.4
NGC  2335,,,NGC 2335,,OCl 562,106.69,-10.023,0.585,OpC,7.2
HD  52721,,,,,,105.45629071,-11.30092274,2.25,Ae*,6.59
V* Z CMa,,,,,,105.92983308819,-11.55172474051,2.0354,Ae*,8.8
NGC  2343,,,NGC 2343,,OCl 565,107.029,-10.619,0.898,OpC,6.7
NGC  2353,,,NGC 2353,,OCl 567,108.641,-10.257,0.816,OpC,7.1
NGC  2345,,,NGC 2345,,OCl 575,107.075,-13.199,0.348,OpC,7.7
NGC  2354,,,NGC 2354,,OCl 639.0,108.503,-25.724,0.753,OpC,6.5
Cl Collinder  132,,,,,,108.485,-30.758,1.501,OpC,3.6
Cl Collinder  135,,,,,,109.362,-37.044,3.278,OpC,2.1
NGC  2396,,,NGC 2396,,,111.984,-11.725,0.653,OpC,7.4
NGC  2374,,,NGC 2374,,OCl 585,111.016,-13.235,0.76,OpC,8.0
NGC  2383,,,NGC 2383,,,111.174,-20.949,0.284,OpC,8.4
NGC  2384,,,NGC 2384,,OCl 618,111.292,-21.022,0.33,OpC,7.4
NGC  2420,,,NGC 2420,,,114.602,21.575,0.363,OpC,8.3
Cl Melotte   71,,,,,,114.383,-12.065,0.434,OpC,7.1
NGC  2414,,,NGC 2414,,OCl 598,113.293,-15.449,0.162,OpC,7.9
NGC  2409,NAME FIRSSE 213,,NGC 2409,,,112.877,-17.229,0.761,OpC,7.3
Cl Bochum    5,,,,,,112.75,-16.933,,OpC,7.0
NGC  2421,,,NGC 2421,,OCl 626,114.051,-20.627,0.343,OpC,8.3
HD  62001,,,,,,115.30792878689,-18.99372565914,2.2652,*,8.21
HD  61071,,,,,,114.13258623242,-25.33278355698,1.274,**,6.851
NGC  2439,,,NGC 2439,,,115.194,-31.694,0.232,OpC,6.9
Cl Bochum   15,,,,,,115.043,-33.54,,OpC,6.3
Cl Ruprecht   32,,,,,OCl 651.0,116.3,-25.539,0.181,OpC,8.4
NGC  2453,,,NGC 2453,,OCl 670,116.894,-27.194,0.205,OpC,8.3
NGC  2477,,,NGC 2477,,,118.046,-38.537,0.665,OpC,5.8
NGC  2506,,,NGC 2506,,,120.01,-10.773,0.292,OpC,7.6
NGC  2482,,,NGC 2482,,OCl 653.0,118.787,-24.263,0.72,OpC,7.3
Cl Trumpler    9,,,,,,118.911,-25.888,0.339,OpC,8.7
NGC  2483,,,NGC 2483,,,118.9,-27.9,,OpC,7.6
NGC  2489,,,NGC 2489,,,119.064,-30.06,0.465,OpC,7.9
Cl Ruprecht   44,,,,,,119.708,-28.558,0.152,OpC,7.2
NGC  2539,,,NGC 2539,,,122.658,-12.834,0.754,OpC,6.5
NGC  2527,,,NGC 2527,,OCl 685.0,121.246,-28.122,1.536,OpC,6.5
NGC  2533,,,NGC 2533,,,121.773,-29.872,0.329,OpC,7.6
Cl Ruprecht   55,,,,,OCl 713,123.112,-32.583,0.187,OpC,7.8
V* RS Pup,,,,,,123.26756546301,-34.57852679107,0.5693,cC*,7.04
HD  68982,,,,,,123.34288103945,-38.43835074544,1.7276,EB*,7.53
NGC  2546,,,NGC 2546,,,123.082,-37.661,1.034,OpC,6.3
