MAIN_ID,ID_name,ID_M,ID_NGC,ID_IC,ID_Ocl,RA_d,DEC_d,PLX_VALUE,OTYPE_otypes,FLUX_V
TYC  247-55-1,,,,,,150.24125156257,2.59342560998,3.7798,PM*,11.37
TYC  237-22-1,,,,,,149.72980919554,0.09393292908,4.3893,*,11.37
TYC  245-1033-1,,,,,,154.56489904239,0.27489167888,1.5478,*,11.35
TYC  245-47-1,,,,,,152.83597650107,0.11738368937,0.9171,*,11.36
TYC  246-975-1,,,,,,155.40526735863,0.19815603323,0.7566,*,11.371
TYC  246-631-1,,,,,,156.97572873082,0.23195842275,1.7388,*,11.4
TYC  254-720-1,,,,,,160.59642402076,0.19349136757,2.3586,*,11.35
NGC  3347,,,NGC 3347,,,160.69429693999,-36.35326068226,,EmG,11.35
TYC 4921-239-1,,,,,,165.99645307173,-0.19617628241,3.6783,*,11.4
TYC  272-193-1,,,,,,176.67530424188,0.03464187866,3.0733,*,11.39
TYC  272-154-1,,,,,,177.11032013521,0.28319523679,5.3616,PM*,11.4
NGC  4106,,,NGC 4106,,,181.6899606,-29.768386,,GiP,11.35
TYC  281-1035-1,,,,,,183.82236899821,0.01529169513,2.2961,*,11.4
TYC 4940-615-1,,,,,,183.53885195709,-0.04184657013,2.6773,*,11.4
NGC  4874,NAME TT 12,,NGC 4874,,,194.89878906845,27.95924830339,,LIN,11.4
TYC 4959-941-1,,,,,,200.15909889355,-0.16298817059,2.9663,PM*,11.4
TYC  307-178-1,,,,,,203.57826956797,0.13945948473,1.0633,*,11.37
TYC  316-1177-1,,,,,,210.4034714624,0.18042525337,3.0726,PM*,11.35
2MASS J14171437-0012178,,,,,,214.30990403066,-0.2049852694,0.8861,*,11.4
GPM 219.448694+00.199161,,,,,,219.44884758394,0.19899667199,2.6598,*,11.4
TYC 4985-41-1,,,,,,219.45756539281,-0.0357030941,0.6877,*,11.4
HD 340799,,,,,,309.8558008,27.2512614,,*,11.39
CD-40  4625,,,,,,132.06159511723,-41.39628066704,1.0405,Em*,11.4
KMHK  951,,,,,,82.299375,-66.593139,,Cl*,11.36
NGC  2159,,,NGC 2159,,,89.487,-68.623,,GlC,11.38
NGC  2156,,,NGC 2156,,,89.438,-68.46,,GlC,11.38
NGC  7098,,,NGC 7098,,,326.0672908225,-75.11135117848,0.1567,AG?,11.37
NAME Fourcade-Figueroa,NAME Fourcade-Figueroa,,,,,203.69708,-45.5475,,AG?,11.4
V* KX TrA,NAME Nova TrA,,,,,251.147783692,-62.62057188591,0.226,Sy*,11.38
IC 4765,,,,IC 4765,,281.825625,-63.33115,,BiC,11.36
NGC  5483,,,NGC 5483,,,212.6043497183,-43.32463395802,0.0256,EmG,11.38
Cl Lynga    4,,,,,OCl 941,233.344,-55.234,0.35,OpC,11.4
TYC  237-1314-1,,,,,,149.59607987188,2.21999484652,4.0746,*,11.35
TYC 4904-143-1,,,,,,153.0928933098679,-0.1778836335528,1.8728,*,11.377
TYC 4975-939-1,,,,,,210.43079835549,-0.24363196282,0.469,*,11.35
TYC 4977-1362-1,,,,,,216.8687037614958,-0.1406884123583,2.5352,*,11.399
IC 2149,,,,IC 2149,,89.09958821746,46.10477911856,0.5352,PN,11.35
TYC 5844-578-1,,,,,,1.05822526783,-21.32115899388,1.7655,*,11.38
ESO 321-26,,,,,,185.46684545061,-38.79038248896,1.3925,G,11.4
NGC  1426,,,NGC 1426,,,55.70458212145,-22.10838155973,0.4833,GiG,11.44
NGC  1744,,,NGC 1744,,,74.99057651795,-26.02217795549,,LSB,11.41
2MASS J05422123+2236471,,,,,,85.5884821746,22.61306777042,0.7163,TT*,11.44
ESO 495-21,,,,,,129.063292,-26.40935,,bCG,11.45
NGC  7599,,,NGC 7599,IC 5308,,349.838104,-42.256839,,EmG,11.41
IC 5273,,,,IC 5273,,344.861329,-37.702878,,EmG,11.45
LEDA  132731,,,,,,359.58672721811,-29.76696625187,0.08,EmG,11.42
NGC   839,,,NGC 839,,,32.4282,-10.1838,,GiG,11.42
NGC   520,,,NGC 520,,,21.146129,3.792411,,AG?,11.42
NGC   777,,,NGC 777,,,30.06211071156,31.42940297823,,Sy2,11.45
NGC  2865,,,NGC 2865,,,140.875854,-23.161492,,GiG,11.43
StKM 1-841,,,,,,153.98192279172,0.13956312638,1.9064,*,11.419
TYC  263-686-1,,,,,,169.81083723364,0.1951534749,3.7757,V*,11.43
TYC  272-153-1,,,,,,177.05923184934,0.18125902994,2.7325,V*,11.45
TYC  280-691-1,,,,,,180.98705503011,0.2213973391,6.3976,*,11.45
NGC  4478,,,NGC 4478,,,187.57256666899,12.3285529381,,GiP,11.45
TYC  290-273-1,,,,,,192.46497262654,0.15390897637,2.7187,*,11.43
TYC  291-639-1,,,,,,194.42054933276,0.0300464645,2.8963,*,11.42
TYC  299-783-1,,,,,,198.6179220806899,0.0451518852,9.759,PM*,11.43
TYC  300-640-1,,,,,,200.37685475225,0.08901164275,3.1311,PM*,11.45
NGC  5121,,,NGC 5121,,,201.19011727202,-37.68219226686,1.5498,AG?,11.41
TYC  307-993-1,,,,,,204.65593294885,0.09667320858,1.4489,PM*,11.45
NGC  6482,,,NGC 6482,,,267.95347468662,23.07191368642,,GiG,11.45
HD 269722,,,,,,83.0784758461,-66.40334476162,0.54,Em*,11.43
NGC  2102,,,NGC 2102,,,85.604542,-69.491539,,Cl*,11.44
IC 2621,,,,IC 2621,,165.0834518,-65.249397,,PN,11.424
NGC  1841,,,NGC 1841,,,71.346,-83.997,,GlC,11.43
NGC  6893,,,NGC 6893,,,305.20674994449,-48.23909216368,,EmG,11.45
NGC  6958,,,NGC 6958,,,312.1775269185499,-37.99746583264,0.157,AG?,11.42
TYC 4904-1656-1,,,,,,154.130457439893,-0.1256820645153,4.1839,*,11.41
TYC 4912-451-1,,,,,,159.52917084001,-0.08704398777,0.7473,*,11.447
TYC 4923-648-1,,,,,,171.24401378488,-0.09698872709,2.8116,V*,11.41
TYC 4966-258-1,,,,,,202.5983146287504,-0.2201243415144,2.2658,*,11.45
6dFGS gJ131723.8-332657,,,,,,199.34897292238,-33.44921790467,,EmG,11.43
NGC  5377,,,NGC 5377,,,209.06946771155,47.23571340252,0.121,AGN,11.46
IC 2067,,,,IC 2067,,67.7125,35.4458,,ISM,11.49
UGCA 116,,,,,,88.927688,3.392286,,H2G,11.46
NGC   410,,,NGC 410,,,17.74542353863,33.15195941057,,GiG,11.48
TYC  247-29-1,,,,,,150.00974076047,2.54984315499,2.7015,*,11.47
TYC  237-618-1,,,,,,149.74515078741,1.62941824128,3.7468,*,11.47
TYC  245-1001-1,,,,,,154.55197574013,0.14649612753,2.4599,*,11.47
TYC  254-887-1,,,,,,161.6209009466,0.14319449629,7.7149,PM*,11.48
TYC  255-453-1,,,,,,163.67889066929,0.20614178207,1.6551,*,11.48
TYC 4921-822-1,,,,,,167.06757533973,-0.05325925924,0.4911,V*,11.488
NGC  3596,,,NGC 3596,,,168.77586713729,14.78702338787,1.0076,H2G,11.49
TYC  272-623-1,,,,,,175.10943125861,0.14816310118,1.7049,*,11.47
TYC 4931-545-1,,,,,,175.58039390184,-0.07386977769,1.863,SB*,11.47
TYC  273-677-1,,,,,,178.56005014686,0.02264199885,5.0452,*,11.49
NGC  4151,,,NGC 4151,,,182.6357332557799,39.40585097987,0.2161,Sy1,11.48
Wolf 1492,,,,,,205.0103841040699,-0.03854168151,3.6494,Pe*,11.451
TYC  316-1067-1,,,,,,212.38020349088,0.01186490339,3.9731,*,11.49
TYC  317-798-1,,,,,,214.88342002335,0.02636719836,1.7716,*,11.493
NGC  5903,,,NGC 5903,,,229.652204,-24.068594,,GiG,11.48
CD-42  4810,,,,,,134.29079868538,-43.3624858494,1.0738,Em*,11.49
NGC  2040,,,NGC 2040,,,84.0029,-67.5825,,As*,11.47
BMG  63,,,,,,86.559917,-67.568131,,OpC,11.47
NGC  1962,,,NGC 1962,,,81.75,-68.85,,ISM,11.47
OGLE-CL LMC 316,,,,,,79.43263,-69.56836,,Cl*,11.48
KMHK  305,,,,,,74.045,-69.250678,,Cl*,11.46
NGC  2075,,,NGC 2075,,,84.58858,-70.68503,,Cl*,11.47
OGLE-CL SMC 129,,,,,,15.43667,-72.56422,,Cl*,11.47
ESO  29-31,,,,,,16.69713,-72.27325,,OpC,11.47
NGC  7020,,,NGC 7020,,,317.83352205886,-64.02528092412,0.3926,GiG,11.48
PN Tc    1,,,,IC 1266,,266.3970330051,-46.08992142298,0.2672,PN,11.49
TYC  244-139-1,,,,,,150.42577594786,1.88882705656,2.3136,*,11.47
TYC 4904-17-1,,,,,,152.6293278369996,-0.1100769415169,2.0755,*,11.452
TYC 4905-125-1,,,,,,157.36606529913,-0.07133602767,2.9608,*,11.49
2MASS J11143308-0014332,,,,,,168.63792565014,-0.24256719554,0.739,RG*,11.46
TYC 4932-428-1,,,,,,179.9830154121762,-0.2816027917492,,PM*,11.47
TYC 4940-617-1,,,,,,184.4393813961191,-0.0441619710381,1.4089,*,11.46
TYC 4957-232-1,,,,,,195.06992822329,-0.13742558315,4.4374,*,11.464
TYC 4967-643-1,,,,,,206.3124034110388,-0.0133165610253,1.6645,*,11.48
TYC 4984-92-1,,,,,,217.8226663286899,-0.10749271437,7.2246,*,11.455
TYC 4960-625-1,,,,,,196.21394739378,-2.73741642346,2.9124,*,11.49
NGC  7129,NAME NGC 7129 IR Cluster,,NGC 7129,,OCl 240,325.74,66.114,1.086,OpC,11.5
NGC  1389,,,NGC 1389,,,54.29892806274,-35.7460758875,0.0001,EmG,11.5
NGC  1381,,,NGC 1381,,,54.13191341006,-35.29520533942,,GiP,11.5
Cl Haffner   10,,,,,OCl 594,112.156,-15.364,0.259,OpC,11.5
MCG-05-01-009,,,,,,359.101335592,-29.13188896302,,EmG,11.53
NGC   474,,,NGC 474,,,20.02786271688,3.41551721475,,GiP,11.51
TYC  244-1619-1,,,,,,150.72432716714,0.06318722325,2.3751,*,11.53
MGC  1213,,,,,,150.96008677103,0.16483886895,0.6751,*,11.503
TYC  246-985-1,,,,,,155.98098062793,0.28258235618,1.7227,*,11.54
TYC 4912-298-1,,,,,,159.8617832362,-0.14446761598,2.4399,*,11.5
NGC  3367,,,NGC 3367,,,161.64563684685,13.75085587708,1.0914,Sy1,11.5
NGC  3358,,,NGC 3358,,,160.8875913088,-36.41071486571,,GiG,11.53
TYC  262-455-1,,,,,,166.97498986652,0.08025432411,2.4959,*,11.524
TYC  272-484-1,,,,,,175.0106214661,0.13233034643,2.2469,*,11.51
TYC  273-449-1,,,,,,178.86724454568,0.24368155009,0.4652,SB*,11.52
TYC  273-351-1,,,,,,178.9656487892,0.18690914948,3.1221,PM*,11.52
NGC  4462,,,NGC 4462,,,187.33805144407,-23.16667164283,,AG?,11.54
TYC  290-205-1,,,,,,192.48320822328,0.25035864346,3.4621,PM*,11.52
NGC  4767,,,NGC 4767,,,193.47061314405,-39.7142830576,,GiG,11.53
TYC 1995-741-1,,,,,,196.73213727951,26.61353440028,1.2915,*,11.51
TYC  300-54-1,,,,,,200.63314482382,0.27079119658,5.074,PM*,11.53
TYC 4959-437-1,,,,,,200.301895,-0.0223773,,*,11.53
TYC 4959-593-1,,,,,,200.21986918395,-0.06994271315,,PM*,11.531
TYC  307-1099-1,,,,,,204.34296408942,0.20663928949,1.8455,SB*,11.52
Cl Terzan    8,,,,,,295.43504,-33.99947,0.05,GlC,11.54
NGC  5898,,,NGC 5898,,,229.55653460094,-24.09789690141,,EmG,11.52
Hen 2-427,NAME BAC 209,,,,,287.87864548657,16.86061137174,0.1568,WR*,11.5
EM* StHA  161,,,,,,290.48037652076,35.048618485,0.0255,pA*,11.54
[SL63] 639,,,,,,84.913,-69.202,,As*,11.53
NGC  1922,,,NGC 1922,,,79.95725,-69.501,,Cl*,11.51
NGC  1820,,,NGC 1820,,,76.025,-67.278,,Cl*,11.5
NGC  2107,,,NGC 2107,,,85.801125,-70.640786,,Cl*,11.51
KMHK  518,,,,,,76.142,-70.905,,As*,11.53
NGC  1704,,,NGC 1704,,,72.479,-69.755,,Cl*,11.5
NGC  3211,,,NGC 3211,,,154.4606,-62.670028,,PN,11.5
NGC  6876,,,NGC 6876,,,304.579775,-70.858833,,GiG,11.54
NGC  5090,,,NGC 5090,,,200.30351965879,-43.70467922425,,rG,11.51
NGC  7196,,,NGC 7196,,,331.47837831973,-50.119408015,,AG?,11.54
IC 5105,,,,IC 5105,,321.09170872745,-40.53772622909,,EmG,11.54
NGC  6326,,,NGC 6326,,,260.192717,-51.754214,,PN,11.53
TYC  244-1-1,,,,,,150.58824535834,2.49995027896,2.7341,*,11.5
IC 4329,,,,IC 4329,,207.272142,-30.295889,,BiC,11.54
2MASS J06491423+2834178,,,,,,102.30927957298,28.57161599559,1.3481,G,11.5
2MASS J16412022+2821276,,,,,,250.33428391452,28.35768675808,2.0027,G,11.54
2MASS J10464037+4622357,,,,,,161.66821714943,46.37661769111,1.1878,G,11.5
TYC 4913-238-1,,,,,,161.85635102757,-0.18252803121,2.4636,*,11.513
TYC 4931-529-1,,,,,,175.3733979482992,-0.03749044975,0.354,*,11.53
TYC 4959-904-1,,,,,,200.7321790738,-0.20362571467,4.1117,PM*,11.5
TYC 4967-591-1,,,,,,206.4146863189817,-0.0446588605369,1.3425,*,11.533
2MASX J23175737+1647580,,,,,,349.48913565576,16.79944755873,,G,11.52
CPD-61  2641,,,,,,177.10381843525,-62.32068793489,0.9645,*,11.51
NGC  1325,,,NGC 1325,,,51.10657078985,-21.54406284499,,EmG,11.55
PN A66   26,,,,,,122.25685,-32.673586,,PN,11.58
NGC    24,,,NGC 24,,,2.485592,-24.963131,,EmG,11.58
NGC   151,,,NGC 151,,,8.51163106359,-9.70527207588,,LIN,11.59
TYC  244-1550-1,,,,,,150.41033933704,0.15127340548,1.1036,*,11.55
NGC  3095,,,NGC 3095,,,150.0241823687043,-31.55269846672,,Sy1,11.58
NGC  3087,,,NGC 3087,,,149.78609041822,-34.22523713314,,EmG,11.55
TYC  246-1000-1,,,,,,155.28051499317,0.01641477958,4.1033,*,11.58
TYC  255-550-1,,,,,,163.46031874256,0.05200189027,2.9751,PM*,11.574
NGC  4262,,,NGC 4262,,,184.87737264012,14.87764365091,0.363,GiG,11.55
UGC  7658,,,NGC 4486A,,,187.74045655049,12.27036569802,1.7737,GiG,11.59
TYC  282-926-1,,,,,,186.1544350414,0.07613217264,2.9316,SB*,11.58
TYC 1996-1283-1,,,,,,198.60733787096,26.52620613716,1.7678,*,11.56
PN A66   36,,,,,,205.17227309607,-19.88203467884,2.3908,PN,11.57
TYC  316-1120-1,,,,,,212.16458111541,0.05236863367,2.1535,*,11.58
V* IP Vir,,,,,,220.02915730814,0.02919687531,1.4313,dS*,11.599
NGC  2427,,,NGC 2427,,,114.1174,-47.63555,,GiG,11.58
CD-48  4157,,,,,,132.69028983164,-49.12359081495,0.5407,*,11.55
NGC  1868,,,NGC 1868,,,78.65251,-63.95714,,GlC,11.57
NGC  2093,,,NGC 2093,,,85.462375,-68.915992,,As*,11.57
NGC  2005,,,NGC 2005,,,82.535417,-69.754006,,Cl*,11.57
NGC  1754,,,NGC 1754,,,73.575333,-70.442383,,Cl*,11.57
NGC  1466,,,NGC 1466,,,56.138,-71.672,,GlC,11.59
NGC  7096,,,NGC 7096,IC 5121,,325.33018544277,-63.90866045171,,Sy2,11.58
IC 4845,,,,IC 4845,,290.09361403457,-60.38917628615,,Sy1,11.57
NGC  6758,,,NGC 6758,,,288.4681897179299,-56.31002644319,,GiG,11.56
LEDA  312188,,,,,,267.2522316647999,-65.56610486708,,AG?,11.58
NGC  6872,,,NGC 6872,,,304.2350104994999,-70.76807516544,0.9376,AG?,11.59
2MASS J07421854+1120072,,,,,,115.57728560228,11.33536909511,2.9824,G,11.58
HD 292560,,,,,,103.12481791257,-0.33788625774,0.7623,*,11.586
TYC 4903-913-1,,,,,,152.2354044118163,-0.0186152552711,2.363,*,11.563
TYC 4912-325-1,,,,,,157.9630450849,-0.12144687044,1.8188,*,11.583
TYC 4914-673-1,,,,,,163.8203974840796,-0.1669632698486,3.1838,*,11.58
TYC 4914-1084-1,,,,,,164.49215218498,-0.13515727954,6.8324,*,11.572
TYC 4914-1262-1,,,,,,164.06855401262,-0.10462885533,6.4352,PM*,11.58
TYC 4941-182-1,,,,,,186.1690593819639,-0.2115556347431,3.1992,PM*,11.59
TYC 4958-411-1,,,,,,199.791014387072,-0.2645303180589,2.3318,*,11.56
TYC 4959-422-1,,,,,,202.19776030039,-0.02320172954,5.0691,PM*,11.55
TYC 4977-1236-1,,,,,,216.6959102629325,-0.0482476518492,2.1754,*,11.55
TYC 4977-1407-1,,,,,,215.3889730817658,-0.2184126313042,1.7833,*,11.59
TYC 7994-919-1,,,,,,329.04069629174,-44.154796352,2.9954,*,11.592
TYC 6415-610-1,,,,,,0.56723888972,-25.49576864026,4.282,*,11.56
UCAC4 537-047983,,,,,,134.3586705566246,17.3007808803722,2.3718,*,11.564
NGC  2500,,,NGC 2500,,,120.47154883405,50.73711180105,0.2575,GiG,11.62
NGC  2639,,,NGC 2639,,,130.90861769543,50.20553946989,,Sy2,11.65
NGC  2782,,,NGC 2782,,,138.5212,40.1137,,Sy2,11.63
NGC   337,,,NGC 337,,,14.958708,-7.577961,,EmG,11.61
NGC   514,,,NGC 514,,,21.01623561956,12.91745841849,,H2G,11.65
NGC   266,,,NGC 266,,,12.44922907833,32.27771838748,,LIN,11.63
NGC   890,,,NGC 890,,,35.50417545711,33.26604745081,,GiG,11.62
NGC  3038,,,NGC 3038,,,147.81442309716,-32.7525754576,,EmG,11.6
BDS  5271 B,,,,,,149.6863469503,-0.13640857925,2.4914,*,11.648
NGC  3254,,,NGC 3254,,,157.333008,29.491439,,Sy2,11.6
TYC  254-518-1,,,,,,161.75386363593,0.06907673831,2.8288,*,11.61
TYC 4921-1103-1,,,,,,167.28692009576,-0.26546972161,0.7303,*,11.6
NGC  3665,,,NGC 3665,,,171.181792,38.762792,,rG,11.62
NGC  3941,,,NGC 3941,,,178.23067062444,36.98631005914,,Sy2,11.62
TYC  273-530-1,,,,,,178.97598376498,0.2864751818,7.1031,PM*,11.64
NGC  4150,,,NGC 4150,,,182.640229,30.401486,,GiG,11.64
TYC  280-458-1,,,,,,180.94360821984,0.21764829091,2.7783,*,11.6
NGC  4302,,,NGC 4302,,,185.426987,14.597761,,GiP,11.61
NGC  4421,,,NGC 4421,,,186.7605571102099,15.4614921324,0.0311,GiG,11.6
IC 3253,,,,IC 3253,,185.938462,-34.622181,,EmG,11.62
IC 4214,,,,IC 4214,,199.42788261416,-32.10169553065,,AG?,11.65
TYC  300-623-1,,,,,,202.4499988436699,0.03112099682,2.2347,*,11.64
2MASS J13533116+0455351,,,,,,208.37985598867,4.9264362119,0.5161,G,11.61
TYC  317-628-1,,,,,,214.01075343137,0.20036225135,3.3541,*,11.6
TYC  325-1212-1,,,,,,219.42237463652,0.20792377154,2.3277,*,11.62
PN Hb    7,,,,,,283.90751556799,-32.26348711427,0.198,PN,11.65
NGC  2671,,,NGC 2671,,,131.557,-41.886,0.687,OpC,11.6
NGC  2117,,,NGC 2117,,,86.947583,-67.451461,,OpC,11.65
BCDSP 5,,,,,,82.986875,-66.130608,,Cl*,11.64
BCDSP 8,,,,,,83.66817,-69.74725,,Cl*,11.63
NGC  2127,,,NGC 2127,,,87.842583,-69.359344,,Cl*,11.64
NGC  2033,,,NGC 2033,,,83.679,-69.737,,As*,11.63
KMHK  933,,,,,,82.0145,-68.810103,,Cl*,11.65
NGC  1714,,,NGC 1714,,,73.035,-66.9231,,EmO,11.61
LEDA  127935,,,,,,41.37412283243,-62.12504773136,,G,11.63
NGC  6438,,,NGC 6438,,,275.57258061051,-85.40201192469,,AG?,11.61
IC 4191,,,,IC 4191,,197.19711332414,-67.64376190573,,PN,11.61
IC 3896,,,,IC 3896,,194.18001450802,-50.34688837792,,AG?,11.6
NGC  5064,,,NGC 5064,,,199.74977800769,-47.90865805463,,Sy2,11.61
WRAY 16-186,,,,,,236.7937622365,-66.48779685817,0.0445,Sy*,11.6
IC 4721,,,,IC 4721,,278.60278280855,-58.49657294336,,AG?,11.63
NGC  7079,,,NGC 7079,,,323.14684086435,-44.06761458533,,GiG,11.61
V* AE Ara,,,,,,265.2704928256199,-47.057552579,0.1004,Sy*,11.63
COSMOS2015 411677,,,,,,150.23940847311,1.93016485279,2.2852,*,11.64
2MASS J13053310+1019218,,,,,,196.38797274189,10.32273086177,2.9848,G,11.62
TYC 4913-1096-1,,,,,,162.1952099203192,-0.1418096155658,1.8265,*,11.64
TYC 4939-194-1,,,,,,180.5296965476396,-0.2736687385164,0.4929,*,11.62
TYC 4939-290-1,,,,,,181.9222223275604,-0.0805066732917,2.1971,*,11.6
TYC 4939-303-1,,,,,,180.0928436992628,-0.0397081928894,4.5768,*,11.65
TYC 4949-146-1,,,,,,191.71158967654,-0.20492543271,3.8864,*,11.637
TYC 4957-391-1,,,,,,195.4853192119425,-0.0764666716025,2.6893,*,11.61
TYC 4958-116-1,,,,,,198.31846543448,-0.18384145807,2.933,*,11.645
TYC 4967-749-1,,,,,,206.32286090079,-0.17586156526,3.0684,PM*,11.64
TYC 8509-1236-1,,,,,,69.80166150698,-53.04970805483,0.4776,*,11.6
IC  166,,,,IC 166,OCl 334,28.094,61.857,0.175,OpC,11.7
IC  361,,,,IC 361,,64.736,58.252,0.227,OpC,11.7
2MASX J06542643+7319500,,,,,,103.61009644103,73.33055077526,,Sy2,11.7
NGC  2537,NAME Bear Claw Nebula,,NGC 2537,,,123.311013,45.989792,,AG?,11.69
NGC  3982,,,NGC 3982,,,179.11726896503,55.12523877407,0.5505,Sy1,11.7
NGC  2776,,,NGC 2776,,,138.060546,44.954894,,AGN,11.693
TYC 7004-1994-1,,,,,,18.13601080545,-36.40823751029,3.8474,*,11.68
2dFGRS TGS434Z196,,,,,,2.1939978362,-31.01102230266,,G,11.69
MCG-05-01-025,,,,,,0.52276259872,-30.61905279852,,G,11.7
LEDA  198753,,,,,,0.399608,-29.615442,,EmG,11.7
NGC   718,,,NGC 718,,,28.30535093551,4.19578976786,,GiC,11.67
NAME Andromeda II,NAME Andromeda II,,,,,19.1242,33.4192,,G,11.7
NGC  2983,,,NGC 2983,,,145.92132095177,-20.47723780041,,EmG,11.68
TYC  245-27-1,,,,,,153.50717146981,0.10724738211,1.2375,*,11.68
NGC  3277,,,NGC 3277,,,158.23103508913,28.51174424471,,Sy2,11.68
GPM 159.481800-00.159019,,,,,,159.48152114366,-0.15904330396,1.7367,*,11.7
NGC  3432,,,NGC 3432,,,163.129717,36.618778,,AG?,11.67
ASASSN-V J110404.78-000849.8,,,,,,166.01992054463,-0.14716722748,1.6469,EB*,11.7
TYC  273-170-1,,,,,,178.81467954498,0.20938703241,1.9912,*,11.68
UCAC4 449-052058,,,,,,177.6117808159025,-0.2695704846375,4.0411,*,11.667
NGC  4550,,,NGC 4550,,,188.87746399502,12.22081143522,,GiP,11.68
TYC  298-902-1,,,,,,197.4776483861299,0.19821462842,3.7901,*,11.68
TYC  309-741-1,,,,,,209.84841140142,0.28125466052,2.6364,*,11.7
TYC  317-147-1,,,,,,212.58260087787,0.27584837516,2.2618,*,11.67
TYC 4975-771-1,,,,,,211.2964944091,-0.13187149391,0.2453,HS?,11.7
TYC 4984-390-1,,,,,,219.33770487416,-0.02238519596,1.8911,*,11.7
Cl Trumpler   25,,,,,,261.125,-39.006,0.402,OpC,11.7
TYC 6881-1428-1,,,,,,285.49258344838,-26.76018276377,0.9091,*,11.68
NGC  6631,,,NGC 6631,,OCl 59.0,276.79,-12.029,0.329,OpC,11.7
NGC  5806,,,NGC 5806,,,225.00170334114,1.89132766522,,AGN,11.7
LBN 040.46+02.46,,,,,,284.1,7.8,,HII,11.66
NGC  6210,,,NGC 6210,,,251.12299625807,23.79983943286,0.4862,PN,11.7
NGC  6207,,,NGC 6207,,,250.765625,36.832425,,GiC,11.651
NGC  1487,,,NGC 1487,,,58.9438,-42.3669,,GiP,11.68
H88 308,,,,,,85.204,-69.38,,Cl*,11.69
NGC  1965,,,NGC 1965,,,81.621,-68.807,,ISM,11.7
NGC  2051,,,NGC 2051,,,84.034333,-71.011817,,Cl*,11.69
NGC   458,,,NGC 458,,,18.72233,-71.54964,,OpC,11.66
HD   7113,,,,IC 1644,,17.303936,-73.194138,,Em*,11.7
IC 5052,,,,IC 5052,,313.006804,-69.193314,,G,11.66
IC 5181,,,,IC 5181,,333.34032918082,-46.01755599665,,GiG,11.69
NGC  6851,,,NGC 6851,,,300.89316157791,-48.28454168311,,EmG,11.67
TYC  237-1602-1,,,,,,149.7844924,1.9591531,,*,11.7
TYC  237-1616-1,,,,,,149.81758904964,1.93906198608,2.7724,*,11.7
NGC  4645,,,NGC 4645,,,191.0416870051199,-41.74997088076,,GiG,11.68
TYC 4930-276-1,,,,,,172.5515108101,-0.17729266496,2.7426,V*,11.66
TYC 4940-855-1,,,,,,183.7380454825012,-0.1818294132239,4.4161,*,11.69
TYC 4950-166-1,,,,,,192.6671555255121,-0.0557543547536,0.7003,*,11.67
TYC 4950-225-1,,,,,,192.7961879084362,-0.1521534119208,1.6537,*,11.7
TYC 4959-678-1,,,,,,201.67117994463,-0.23478825734,2.6678,PM*,11.66
TYC 4967-843-1,,,,,,205.85614059809,-0.23951204159,1.1758,RG*,11.675
TYC 4968-64-1,,,,,,209.8184882897467,-0.1888498914756,3.6921,*,11.67
TYC 4976-135-1,,,,,,212.9988989616391,-0.1400051197797,1.6974,*,11.68
TYC 4977-1307-1,,,,,,216.1666630220388,-0.2669230039131,3.9766,*,11.665
TYC 8396-484-1,,,,,,302.01411442482,-48.5406062894,2.6456,*,11.69
2MASS J23361152-5541557,,,,,,354.04804327999,-55.6988461508,4.0943,G,11.7
TYC 2858-391-1,,,,,,43.93901846965,43.25446330536,1.685,*,11.68
LEDA  139415,,,,,,161.04802282276,-9.0533504747,,Sy2,11.68
BRAN 184,,,,,,131.89578725398,-41.59127691522,1.0679,RNe,11.7
V* EO Gru,,,,,,349.3891561621999,-52.80264567832,2.2969,BY*,11.67
TYC 2854-1189-1,,,,,,43.863265,41.806232,,**,11.74
NGC  1640,,,NGC 1640,,,70.56044112078,-20.43477517041,,EmG,11.72
2MASX J05011995-1639040,,,,,,75.33311738745,-16.65121156949,,GiG,11.71
NGC  2139,,,NGC 2139,IC 2154,,90.283179,-23.672319,,EmG,11.71
2dFGRS TGS279Z154,,,,,,2.93196211438,-28.93239622415,,GiC,11.74
NGC   894,,,NGC 894,,,35.401958,-5.521394,,Sy2,11.73
NGC  1156,,,NGC 1156,,,44.92855368636,25.2412088937,,rG,11.74
NGC   404,,,NGC 404,,,17.36259,35.71813,,LIN,11.73
TYC  245-1041-1,,,,,,154.90912055651,0.05584880827,1.1976,*,11.73
TYC  246-1086-1,,,,,,155.42582598854,0.07260558589,1.3493,*,11.73
NGC  3258,,,NGC 3258,,,157.223283,-35.60555,,EmG,11.72
NGC  3271,,,NGC 3271,IC 2585,,157.61043128367,-35.35946219168,0.8128,BiC,11.73
TYC  263-700-1,,,,,,167.67861258348,0.17176263103,2.5646,*,11.74
TYC  263-752-1,,,,,,169.97067023492,0.10805114366,3.2158,V*,11.717
TYC  271-230-1,,,,,,173.32851705104,0.07427234744,1.2352,*,11.72
NGC  4189,,,NGC 4189,IC 3050,,183.44682534991,13.42484585962,,GiG,11.74
TYC  282-888-1,,,,,,185.10850039385,0.23358530948,1.9862,*,11.71
NGC  4312,,,NGC 4312,,,185.630662,15.537919,,GiG,11.72
NGC  4379,,,NGC 4379,,,186.31144114911,15.60743196516,,GiG,11.72
NGC  4440,,,NGC 4440,,,186.9731928881699,12.29327471302,,GiG,11.72
