α,alf
β,bet
γ,gam
δ,del
ε,eps
ζ,zet
η,eta
θ,tet
ι,iot
κ,kap
λ,lam
µ,mu.
ν,nu.
ξ,ksi
o,omi
π,pi.
ρ,rho
σ,sig
τ,tau
υ,ups
φ,phi
χ,khi
ψ,psi
ω,ome
